empresa,ejercicio,documento,tipo_doc,almacen,orden,descripcion,clv_man,facturado,empresa_id,almacen_id,documento_id,name
1,2023,23000222,PC,1,12,"3 piezas de 250mm (29,10/pieza)",,0,1,1_1,1_1_PC_23000222,1_1_PC_23000222_12_1
1,2023,23000222,PC,1,13,Heat F2013-06-77 Lot F2023-06-05,,0,1,1_1,1_1_PC_23000222,1_1_PC_23000222_13_1
1,2023,23000222,PC,1,15,Heat 2301055 Lot 2300560 D6,,0,1,1_1,1_1_PC_23000222,1_1_PC_23000222_15_1
1,2023,23000420,PV,1,2,x300 (Partiendo de un tubo L600),,0,1,1_1,1_1_PV_23000420,1_1_PV_23000420_2_1
1,2023,3646,SF,1,1,sensa material,,0,1,1_1,1_1_SF_3646,1_1_SF_3646_1_1
1,2023,3648,SF,1,1,sensa material,,0,1,1_1,1_1_SF_3648,1_1_SF_3648_1_1
1,2023,3649,SF,1,1,sensa material,,0,1,1_1,1_1_SF_3649,1_1_SF_3649_1_1
1,2023,23000469,SV,1,2,x300 (Partiendo de un tubo L600),,1,1,1_1,1_1_SV_23000469,1_1_SV_23000469_2_1
1,2023,23000468,SV,1,6,CONTACT: GUILBERT NATHAN,,1,1,1_1,1_1_SV_23000468,1_1_SV_23000468_6_1
1,2023,23000463,SV,1,2,"CAMBIO TELA INOX304 HILO 1,25 LUZ 7,10",,1,1,1_1,1_1_SV_23000463,1_1_SV_23000463_2_1
1,2023,23000407,PV,1,6,Taric: 8108909099,,0,1,1_1,1_1_PV_23000407,1_1_PV_23000407_6_1
1,2023,23000407,PV,1,7,Condiciones de envío: EXWORKS,,0,1,1_1,1_1_PV_23000407,1_1_PV_23000407_7_1
1,2023,23000380,EC,1,1,MANTENIMENTI EQUIPS INFORMATICS AGOST,,1,1,1_1,1_1_EC_23000380,1_1_EC_23000380_1_1
1,2023,3681,SF,1,2,5marcos x 4tiras x 6piezas = 120,,0,1,1_1,1_1_SF_3681,1_1_SF_3681_2_1
1,2023,3681,SF,1,3,CALENTAR 230º 1MARCO,,0,1,1_1,1_1_SF_3681,1_1_SF_3681_3_1
1,2023,23000345,EC,1,1,REPARAR Y ACONDICIONAR CUBIERTA,,1,1,1_1,1_1_EC_23000345,1_1_EC_23000345_1_1
1,2023,23000345,EC,1,2,"TOTAL PRESUPUESTO 8.553,00.-",,1,1,1_1,1_1_EC_23000345,1_1_EC_23000345_2_1
1,2023,23000345,EC,1,3,50% ACEPTACION PEDIDO,,1,1,1_1,1_1_EC_23000345,1_1_EC_23000345_3_1
1,2023,3681,SF,1,4,COCER 200º 2MARCOS,,0,1,1_1,1_1_SF_3681,1_1_SF_3681_4_1
1,2023,3681,SF,1,5,"FRECUENCIA 300""",,0,1,1_1,1_1_SF_3681,1_1_SF_3681_5_1
1,2023,3681,SF,1,6,"PARADA 45""",,0,1,1_1,1_1_SF_3681,1_1_SF_3681_6_1
1,2023,3681,SF,1,7,INMERSOR BAJADA RAPIDA -SUBIDA LENTA,,0,1,1_1,1_1_SF_3681,1_1_SF_3681_7_1
1,2023,3681,SF,1,8,"INMERSOR PARADO ABAJO 0""",,0,1,1_1,1_1_SF_3681,1_1_SF_3681_8_1
1,2023,3681,SF,1,9,MEDIDA UTILAGE 82mm,,0,1,1_1,1_1_SF_3681,1_1_SF_3681_9_1
1,2023,3681,SF,1,10,GRUESO 1.5mm,,0,1,1_1,1_1_SF_3681,1_1_SF_3681_10_1
1,2023,3693,SF,1,2,5marcos x 4tiras x 5piezas = 100,,0,1,1_1,1_1_SF_3693,1_1_SF_3693_2_1
1,2023,3693,SF,1,3,CALENTAR 230º 1MARCO,,0,1,1_1,1_1_SF_3693,1_1_SF_3693_3_1
1,2023,3693,SF,1,4,COCER 200º 2MARCOS,,0,1,1_1,1_1_SF_3693,1_1_SF_3693_4_1
1,2023,3693,SF,1,5,"FRECUENCIA 300""",,0,1,1_1,1_1_SF_3693,1_1_SF_3693_5_1
1,2023,3693,SF,1,6,"PARADA 45""",,0,1,1_1,1_1_SF_3693,1_1_SF_3693_6_1
1,2023,3693,SF,1,7,INMERSOR BAJADA RAPIDA -SUBIDA LENTA,,0,1,1_1,1_1_SF_3693,1_1_SF_3693_7_1
1,2023,3693,SF,1,8,"INMERSOR PARADO ABAJO 0""",,0,1,1_1,1_1_SF_3693,1_1_SF_3693_8_1
1,2023,3693,SF,1,9,MEDIDA UTILAGE 82mm,,0,1,1_1,1_1_SF_3693,1_1_SF_3693_9_1
1,2023,3693,SF,1,10,GRUESO 1.5mm,,0,1,1_1,1_1_SF_3693,1_1_SF_3693_10_1
1,2023,23000463,PV,1,2,PL300(100),,0,1,1_1,1_1_PV_23000463,1_1_PV_23000463_2_1
1,2023,23000382,EC,1,1,MOUSE LOGITECH M185(INALAMBRIC) GRANATE),,1,1,1_1,1_1_EC_23000382,1_1_EC_23000382_1_1
