empresa,ejercicio,almacen,documento,tipo_movimiento,linea_documento,linea_medida,bultos,cantidad,largo,ancho,grueso,procede,empresa_id,almacen_id,documento_id,linea_documento_id,name
1,2023,1,3101,SF,7,1,2.000,0.013,66.000,0.000,0.000,2,1,1_1,1_1_SF_3101,1_1_SF_3101_7,1_1_SF_3101_7
1,2023,1,3203,SF,10,1,1.000,0.050,50.000,0.000,0.000,2,1,1_1,1_1_SF_3203,1_1_SF_3203_10,1_1_SF_3203_10
1,2023,1,3203,SF,11,1,1.000,0.003,2.500,0.000,0.000,2,1,1_1,1_1_SF_3203,1_1_SF_3203_11,1_1_SF_3203_11
1,2023,1,3101,SF,8,1,2.000,0.001,6.000,0.000,0.000,2,1,1_1,1_1_SF_3101,1_1_SF_3101_8,1_1_SF_3101_8
1,2023,1,3281,SF,1,1,1.000,0.005,72.000,10.000,0.000,2,1,1_1,1_1_SF_3281,1_1_SF_3281_1,1_1_SF_3281_1
1,2023,1,3339,SF,1,1,3.000,0.586,305.000,40.000,0.000,2,1,1_1,1_1_SF_3339,1_1_SF_3339_1,1_1_SF_3339_1
1,2023,1,3205,SF,1,1,1.000,72.800,13000.000,0.000,0.000,2,1,1_1,1_1_SF_3205,1_1_SF_3205_1,1_1_SF_3205_1
1,2023,1,3125,SF,2,1,1.000,0.068,165.000,0.000,0.000,2,1,1_1,1_1_SF_3125,1_1_SF_3125_2,1_1_SF_3125_2
1,2023,1,3125,SF,3,1,1.111,0.044,110.000,0.000,0.000,2,1,1_1,1_1_SF_3125,1_1_SF_3125_3,1_1_SF_3125_3
1,2023,1,3126,SF,1,1,2.000,0.861,1183.000,0.000,0.000,2,1,1_1,1_1_SF_3126,1_1_SF_3126_1,1_1_SF_3126_1
1,2023,1,3127,SF,1,1,2.000,0.291,400.000,0.000,0.000,2,1,1_1,1_1_SF_3127,1_1_SF_3127_1,1_1_SF_3127_1
1,2023,1,3126,SF,3,1,2.000,0.007,20.000,0.000,0.000,2,1,1_1,1_1_SF_3126,1_1_SF_3126_3,1_1_SF_3126_3
1,2023,1,3126,SF,4,1,2.000,0.015,20.000,0.000,0.000,2,1,1_1,1_1_SF_3126,1_1_SF_3126_4,1_1_SF_3126_4
1,2023,1,3130,SF,1,1,1.083,0.866,333.000,100.000,0.000,2,1,1_1,1_1_SF_3130,1_1_SF_3130_1,1_1_SF_3130_1
1,2023,1,3130,SF,2,1,1.000,0.314,160.000,0.000,0.000,2,1,1_1,1_1_SF_3130,1_1_SF_3130_2,1_1_SF_3130_2
1,2023,1,3007,SF,4,1,8.000,0.125,30.000,0.000,0.000,2,1,1_1,1_1_SF_3007,1_1_SF_3007_4,1_1_SF_3007_4
1,2023,1,3007,SF,5,1,4.000,0.260,125.000,0.000,0.000,2,1,1_1,1_1_SF_3007,1_1_SF_3007_5,1_1_SF_3007_5
1,2023,1,3007,SF,6,1,2.000,0.447,430.000,0.000,0.000,2,1,1_1,1_1_SF_3007,1_1_SF_3007_6,1_1_SF_3007_6
1,2023,1,3007,SF,7,1,120.000,0.216,45.000,5.000,0.000,2,1,1_1,1_1_SF_3007,1_1_SF_3007_7,1_1_SF_3007_7
1,2023,1,3007,SF,8,1,120.000,0.101,35.000,3.000,0.000,2,1,1_1,1_1_SF_3007,1_1_SF_3007_8,1_1_SF_3007_8
1,2023,1,3205,SF,2,1,3.000,0.684,200.000,20.000,0.000,2,1,1_1,1_1_SF_3205,1_1_SF_3205_2,1_1_SF_3205_2
1,2023,1,3205,SF,3,1,3.000,7.257,1025.000,0.000,0.000,2,1,1_1,1_1_SF_3205,1_1_SF_3205_3,1_1_SF_3205_3
1,2023,1,3205,SF,4,1,6.000,9.346,660.000,0.000,0.000,2,1,1_1,1_1_SF_3205,1_1_SF_3205_4,1_1_SF_3205_4
1,2023,1,3032,SF,4,1,16.000,0.250,30.000,0.000,0.000,2,1,1_1,1_1_SF_3032,1_1_SF_3032_4,1_1_SF_3032_4
1,2023,1,3045,SF,1,1,1.063,0.143,795.000,25.000,0.000,2,1,1_1,1_1_SF_3045,1_1_SF_3045_1,1_1_SF_3045_1
1,2023,1,3043,SF,1,1,1.027,0.121,795.000,22.000,0.000,2,1,1_1,1_1_SF_3043,1_1_SF_3043_1,1_1_SF_3043_1
1,2023,1,3044,SF,1,1,1.063,0.143,795.000,25.000,0.000,2,1,1_1,1_1_SF_3044,1_1_SF_3044_1,1_1_SF_3044_1
1,2023,1,3052,SF,1,1,1.000,0.016,16.000,0.000,0.000,2,1,1_1,1_1_SF_3052,1_1_SF_3052_1,1_1_SF_3052_1
1,2023,1,3032,SF,5,1,8.000,0.541,130.000,0.000,0.000,2,1,1_1,1_1_SF_3032,1_1_SF_3032_5,1_1_SF_3032_5
1,2023,1,3032,SF,6,1,4.000,0.894,430.000,0.000,0.000,2,1,1_1,1_1_SF_3032,1_1_SF_3032_6,1_1_SF_3032_6
1,2023,1,3107,SF,1,1,1.200,0.039,200.000,18.000,0.000,2,1,1_1,1_1_SF_3107,1_1_SF_3107_1,1_1_SF_3107_1
1,2023,1,3053,SF,1,1,1.000,0.016,16.000,0.000,0.000,2,1,1_1,1_1_SF_3053,1_1_SF_3053_1,1_1_SF_3053_1
1,2023,1,3170,SF,1,1,1.042,0.020,333.000,0.000,0.000,2,1,1_1,1_1_SF_3170,1_1_SF_3170_1,1_1_SF_3170_1
1,2023,1,3178,SF,11,1,1.000,0.050,50.000,0.000,0.000,2,1,1_1,1_1_SF_3178,1_1_SF_3178_11,1_1_SF_3178_11
1,2023,1,3032,SF,7,1,320.000,0.896,70.000,5.000,0.000,2,1,1_1,1_1_SF_3032,1_1_SF_3032_7,1_1_SF_3032_7
1,2023,1,3177,SF,1,1,1.000,0.200,200.000,0.000,0.000,2,1,1_1,1_1_SF_3177,1_1_SF_3177_1,1_1_SF_3177_1
1,2023,1,3068,SF,1,1,1.000,0.005,67.000,10.000,0.000,2,1,1_1,1_1_SF_3068,1_1_SF_3068_1,1_1_SF_3068_1
1,2023,1,3206,SF,1,1,1.000,0.380,300.000,50.000,0.000,2,1,1_1,1_1_SF_3206,1_1_SF_3206_1,1_1_SF_3206_1
1,2023,1,3205,SF,5,1,12.000,0.991,70.000,0.000,0.000,2,1,1_1,1_1_SF_3205,1_1_SF_3205_5,1_1_SF_3205_5
1,2023,1,3206,SF,4,1,1.000,0.200,200.000,0.000,0.000,2,1,1_1,1_1_SF_3206,1_1_SF_3206_4,1_1_SF_3206_4
1,2023,1,3205,SF,6,1,3.000,0.354,100.000,0.000,0.000,2,1,1_1,1_1_SF_3205,1_1_SF_3205_6,1_1_SF_3205_6
1,2023,1,3235,EF,1,1,1.000,0.000,5940.000,0.000,0.000,2,1,1_1,1_1_EF_3235,1_1_EF_3235_1,1_1_EF_3235_1
1,2023,1,3242,SF,1,1,1.014,0.104,795.000,19.000,0.000,2,1,1_1,1_1_SF_3242,1_1_SF_3242_1,1_1_SF_3242_1
1,2023,1,3178,SF,12,1,1.000,0.005,5.000,0.000,0.000,2,1,1_1,1_1_SF_3178,1_1_SF_3178_12,1_1_SF_3178_12
1,2023,1,3339,SF,2,1,3.000,0.008,17.000,10.000,0.000,2,1,1_1,1_1_SF_3339,1_1_SF_3339_2,1_1_SF_3339_2
1,2023,1,3149,SF,1,1,1.000,0.025,25.000,0.000,0.000,2,1,1_1,1_1_SF_3149,1_1_SF_3149_1,1_1_SF_3149_1
1,2023,1,3339,SF,3,1,2.000,1.263,535.000,0.000,0.000,2,1,1_1,1_1_SF_3339,1_1_SF_3339_3,1_1_SF_3339_3
1,2023,1,3205,SF,7,1,1.000,2.000,2000.000,0.000,0.000,2,1,1_1,1_1_SF_3205,1_1_SF_3205_7,1_1_SF_3205_7
1,2023,1,3154,SF,1,1,1.000,0.066,66.000,0.000,0.000,2,1,1_1,1_1_SF_3154,1_1_SF_3154_1,1_1_SF_3154_1
1,2023,1,3121,SF,1,1,1.000,12.000,12000.000,0.000,0.000,2,1,1_1,1_1_SF_3121,1_1_SF_3121_1,1_1_SF_3121_1
1,2023,1,3339,SF,4,1,3.000,1.470,250.000,0.000,0.000,2,1,1_1,1_1_SF_3339,1_1_SF_3339_4,1_1_SF_3339_4
1,2023,1,3205,SF,8,1,1.000,1.000,1000.000,0.000,0.000,2,1,1_1,1_1_SF_3205,1_1_SF_3205_8,1_1_SF_3205_8
1,2023,1,3206,SF,5,1,1.000,0.100,100.000,0.000,0.000,2,1,1_1,1_1_SF_3206,1_1_SF_3206_5,1_1_SF_3206_5
1,2023,1,3207,SF,1,1,1.000,0.249,346.000,0.000,0.000,2,1,1_1,1_1_SF_3207,1_1_SF_3207_1,1_1_SF_3207_1
1,2023,1,3194,SF,1,1,1.000,0.648,290.000,0.000,0.000,2,1,1_1,1_1_SF_3194,1_1_SF_3194_1,1_1_SF_3194_1
1,2023,1,3156,SF,1,1,1.000,0.018,18.000,0.000,0.000,2,1,1_1,1_1_SF_3156,1_1_SF_3156_1,1_1_SF_3156_1
1,2023,1,3131,SF,1,1,2.000,1.273,535.000,0.000,0.000,2,1,1_1,1_1_SF_3131,1_1_SF_3131_1,1_1_SF_3131_1
1,2023,1,3131,SF,2,1,3.000,1.470,250.000,0.000,0.000,2,1,1_1,1_1_SF_3131,1_1_SF_3131_2,1_1_SF_3131_2
1,2023,1,3131,SF,3,1,3.000,0.586,305.000,40.000,0.000,2,1,1_1,1_1_SF_3131,1_1_SF_3131_3,1_1_SF_3131_3
1,2023,1,3131,SF,4,1,3.000,0.008,17.000,10.000,0.000,2,1,1_1,1_1_SF_3131,1_1_SF_3131_4,1_1_SF_3131_4
1,2023,1,3131,SF,5,1,1.500,0.106,36.000,0.000,0.000,2,1,1_1,1_1_SF_3131,1_1_SF_3131_5,1_1_SF_3131_5
1,2023,1,3103,SF,1,1,1.027,0.121,795.000,22.000,0.000,2,1,1_1,1_1_SF_3103,1_1_SF_3103_1,1_1_SF_3103_1
1,2023,1,3194,SF,2,1,1.000,0.578,295.000,0.000,0.000,2,1,1_1,1_1_SF_3194,1_1_SF_3194_2,1_1_SF_3194_2
1,2023,1,3194,SF,3,1,1.000,6.819,1390.000,0.000,0.000,2,1,1_1,1_1_SF_3194,1_1_SF_3194_3,1_1_SF_3194_3
1,2023,1,3194,SF,4,1,11.000,1.480,218.000,0.000,0.000,2,1,1_1,1_1_SF_3194,1_1_SF_3194_4,1_1_SF_3194_4
1,2023,1,3050,SF,1,1,0.655,0.004,144.000,7.000,0.000,2,1,1_1,1_1_SF_3050,1_1_SF_3050_1,1_1_SF_3050_1
1,2023,1,3194,SF,5,1,11.000,0.563,80.000,40.000,0.000,2,1,1_1,1_1_SF_3194,1_1_SF_3194_5,1_1_SF_3194_5
1,2023,1,3194,SF,8,1,22.000,1.760,80.000,0.000,0.000,2,1,1_1,1_1_SF_3194,1_1_SF_3194_8,1_1_SF_3194_8
1,2023,1,3144,SF,1,1,1.000,0.083,83.000,0.000,0.000,2,1,1_1,1_1_SF_3144,1_1_SF_3144_1,1_1_SF_3144_1
1,2023,1,3144,SF,2,1,1.050,0.011,20.000,20.000,0.000,2,1,1_1,1_1_SF_3144,1_1_SF_3144_2,1_1_SF_3144_2
1,2023,1,3145,SF,1,1,1.050,0.031,55.000,20.000,0.000,2,1,1_1,1_1_SF_3145,1_1_SF_3145_1,1_1_SF_3145_1
1,2023,1,3128,SF,2,1,1.000,7.000,7000.000,0.000,0.000,2,1,1_1,1_1_SF_3128,1_1_SF_3128_2,1_1_SF_3128_2
1,2023,1,3128,SF,9,1,1.000,0.050,50.000,0.000,0.000,2,1,1_1,1_1_SF_3128,1_1_SF_3128_9,1_1_SF_3128_9
1,2023,1,3128,SF,10,1,1.000,0.050,50.000,0.000,0.000,2,1,1_1,1_1_SF_3128,1_1_SF_3128_10,1_1_SF_3128_10
1,2023,1,3128,SF,11,1,1.000,0.003,2.500,0.000,0.000,2,1,1_1,1_1_SF_3128,1_1_SF_3128_11,1_1_SF_3128_11
1,2023,1,3051,SF,3,1,2.000,0.515,353.000,0.000,0.000,2,1,1_1,1_1_SF_3051,1_1_SF_3051_3,1_1_SF_3051_3
1,2023,1,3051,SF,4,1,1.000,0.248,340.000,0.000,0.000,2,1,1_1,1_1_SF_3051,1_1_SF_3051_4,1_1_SF_3051_4
1,2023,1,3051,SF,5,1,1.000,0.219,300.000,0.000,0.000,2,1,1_1,1_1_SF_3051,1_1_SF_3051_5,1_1_SF_3051_5
1,2023,1,3051,SF,6,1,4.000,0.695,741.000,13.000,0.000,2,1,1_1,1_1_SF_3051,1_1_SF_3051_6,1_1_SF_3051_6
1,2023,1,3129,SF,1,1,1.000,3.000,3000.000,0.000,0.000,2,1,1_1,1_1_SF_3129,1_1_SF_3129_1,1_1_SF_3129_1
1,2023,1,3129,SF,4,1,1.000,0.148,148.000,0.000,0.000,2,1,1_1,1_1_SF_3129,1_1_SF_3129_4,1_1_SF_3129_4
