moneda_ref,moneda,fecha_inicio,valor_c,valor_v,tipo,moneda_id,name
1,3,1994-05-30,0.010000,0.010000,2,3,1_3_1994-05-30
3,1,1994-05-30,1.000000,1.000000,2,1,3_1_1994-05-30
4,1,1994-05-30,1.000000,1.000000,2,1,4_1_1994-05-30
1,1,1994-05-30,1.000000,1.000000,2,1,1_1_1994-05-30
2,2,1994-05-30,1.000000,1.000000,2,2,2_2_1994-05-30
4,4,1994-05-30,1.000000,1.000000,2,4,4_4_1994-05-30
1,4,1994-05-31,1.000000,1.000000,1,4,1_4_1994-05-31
1,2,1994-05-31,1.000000,1.000000,1,2,1_2_1994-05-31
2,1,1994-05-31,1.000000,1.000000,1,1,2_1_1994-05-31
1,3,1994-05-31,0.010000,0.010000,1,3,1_3_1994-05-31
3,1,1994-05-31,1.000000,1.000000,1,1,3_1_1994-05-31
4,1,1994-05-31,1.000000,1.000000,1,1,4_1_1994-05-31
1,1,1994-05-31,1.000000,1.000000,1,1,1_1_1994-05-31
2,2,1994-05-31,1.000000,1.000000,1,2,2_2_1994-05-31
4,4,1994-05-31,1.000000,1.000000,1,4,4_4_1994-05-31
1,4,1994-07-07,0.045000,0.045000,2,4,1_4_1994-07-07
1,2,1994-07-07,0.007690,0.007690,2,2,1_2_1994-07-07
2,1,1994-07-07,130.000000,130.000000,2,1,2_1_1994-07-07
1,3,1994-07-07,1.200000,1.200000,2,3,1_3_1994-07-07
3,1,1994-07-07,0.085000,0.085000,2,1,3_1_1994-07-07
4,1,1994-07-07,24.000000,24.000000,2,1,4_1_1994-07-07
1,1,1994-07-07,1.000000,1.000000,2,1,1_1_1994-07-07
2,2,1994-07-07,1.000000,1.000000,2,2,2_2_1994-07-07
4,4,1994-07-07,1.000000,1.000000,2,4,4_4_1994-07-07
1,2,1994-12-31,0.007690,0.007690,1,2,1_2_1994-12-31
2,1,1994-09-21,130.000000,130.000000,2,1,2_1_1994-09-21
2,1,1994-12-31,130.000000,130.000000,1,1,2_1_1994-12-31
1,4,1994-07-15,0.040000,0.040000,1,4,1_4_1994-07-15
1,2,1994-07-15,0.010000,0.010000,1,2,1_2_1994-07-15
2,1,1994-07-15,100.000000,100.000000,1,1,2_1_1994-07-15
1,3,1994-07-15,0.120000,0.120000,1,3,1_3_1994-07-15
3,1,1994-07-15,0.120000,0.120000,1,1,3_1_1994-07-15
4,1,1994-07-15,25.000000,25.000000,1,1,4_1_1994-07-15
1,1,1994-07-15,1.000000,1.000000,1,1,1_1_1994-07-15
2,2,1994-07-15,1.000000,1.000000,1,2,2_2_1994-07-15
4,4,1994-07-15,1.000000,1.000000,1,4,4_4_1994-07-15
1,1,1994-12-31,1.000000,1.000000,1,1,1_1_1994-12-31
2,1,1994-11-07,123.000000,125.000000,1,1,2_1_1994-11-07
1,3,1994-11-07,0.120000,0.150000,1,3,1_3_1994-11-07
3,1,1994-11-07,0.005000,0.005000,1,1,3_1_1994-11-07
4,1,1994-11-07,26.000000,24.000000,1,1,4_1_1994-11-07
1,1,1994-11-07,1.000000,1.000000,1,1,1_1_1994-11-07
2,2,1994-11-07,1.000000,1.000000,1,2,2_2_1994-11-07
4,4,1994-11-07,1.000000,1.000000,1,4,4_4_1994-11-07
1,4,1994-11-28,0.040000,0.038500,2,4,1_4_1994-11-28
1,2,1994-11-28,0.008000,0.007500,2,2,1_2_1994-11-28
2,1,1994-11-28,129.000000,125.000000,2,1,2_1_1994-11-28
1,4,1994-11-28,0.040000,0.038500,1,4,1_4_1994-11-28
1,2,1994-11-28,0.008000,0.008500,1,2,1_2_1994-11-28
2,1,1994-11-28,129.000000,125.000000,1,1,2_1_1994-11-28
2,1,1995-01-25,0.760000,0.760000,2,1,2_1_1995-01-25
4,1,1995-01-25,20.000000,20.000000,2,1,4_1_1995-01-25
1,4,1995-02-02,0.008000,0.008000,2,4,1_4_1995-02-02
1,4,1994-11-08,0.041700,0.041700,2,4,1_4_1994-11-08
1,2,1994-11-08,0.007800,0.007800,2,2,1_2_1994-11-08
2,1,1994-11-08,128.000000,128.000000,2,1,2_1_1994-11-08
1,3,1994-11-08,10.000000,10.000000,2,3,1_3_1994-11-08
3,1,1994-11-08,0.000800,0.000800,2,1,3_1_1994-11-08
4,1,1994-11-08,24.000000,24.000000,2,1,4_1_1994-11-08
1,1,1994-11-08,1.000000,1.000000,2,1,1_1_1994-11-08
2,2,1994-11-08,1.000000,1.000000,2,2,2_2_1994-11-08
4,4,1994-11-08,1.000000,1.000000,2,4,4_4_1994-11-08
1,2,1995-02-02,0.007600,0.007600,2,2,1_2_1995-02-02
1,4,1994-02-02,0.000100,0.000100,2,4,1_4_1994-02-02
1,2,1994-02-02,0.007600,0.007600,2,2,1_2_1994-02-02
2,1,1994-02-02,140.000000,140.000000,2,1,2_1_1994-02-02
4,1,1994-02-02,20.000000,20.000000,2,1,4_1_1994-02-02
2,1,1995-02-02,140.000000,140.000000,2,1,2_1_1995-02-02
1,4,1995-01-23,0.040000,0.035000,1,4,1_4_1995-01-23
1,2,1995-01-23,0.008000,0.005000,1,2,1_2_1995-01-23
2,1,1995-01-23,120.000000,120.000000,1,1,2_1_1995-01-23
1,3,1995-01-23,12.000000,12.000000,1,3,1_3_1995-01-23
3,1,1995-01-23,0.120000,0.120000,1,1,3_1_1995-01-23
4,1,1995-01-23,25.000000,25.000000,1,1,4_1_1995-01-23
1,1,1995-01-23,1.000000,1.000000,1,1,1_1_1995-01-23
2,2,1995-01-23,1.000000,1.000000,1,2,2_2_1995-01-23
4,4,1995-01-23,1.000000,1.000000,1,4,4_4_1995-01-23
1,3,1995-02-02,0.008300,0.008300,2,3,1_3_1995-02-02
3,1,1995-02-02,10.000000,10.000000,2,1,3_1_1995-02-02
4,1,1995-02-02,20.000000,20.000000,2,1,4_1_1995-02-02
1,1,1995-02-02,1.000000,1.000000,2,1,1_1_1995-02-02
2,2,1995-02-02,1.000000,1.000000,2,2,2_2_1995-02-02
4,4,1995-02-02,1.000000,1.000000,2,4,4_4_1995-02-02
1,4,1995-12-31,0.040000,0.040000,2,4,1_4_1995-12-31
1,2,1995-12-31,0.008300,0.008300,2,2,1_2_1995-12-31
2,1,1995-12-31,118.000000,120.000000,2,1,2_1_1995-12-31
1,3,1995-12-31,12.000000,13.000000,2,3,1_3_1995-12-31
3,1,1995-12-31,0.120000,0.120000,2,1,3_1_1995-12-31
4,1,1995-12-31,19.000000,20.000000,2,1,4_1_1995-12-31
1,1,1995-12-31,1.000000,1.000000,2,1,1_1_1995-12-31
2,2,1995-12-31,1.000000,2.000000,2,2,2_2_1995-12-31
4,4,1995-12-31,1.000000,1.000000,2,4,4_4_1995-12-31
1,4,1995-02-22,0.050000,0.050000,1,4,1_4_1995-02-22
1,2,1995-02-22,0.008000,0.008000,1,2,1_2_1995-02-22
2,1,1995-02-22,120.000000,120.000000,1,1,2_1_1995-02-22
1,3,1995-02-22,12.000000,12.000000,1,3,1_3_1995-02-22
3,1,1995-02-22,0.120000,0.120000,1,1,3_1_1995-02-22
4,1,1995-02-22,20.000000,20.000000,1,1,4_1_1995-02-22
1,1,1995-02-22,1.000000,1.000000,1,1,1_1_1995-02-22
2,2,1995-02-22,1.000000,1.000000,1,2,2_2_1995-02-22
4,4,1995-02-22,1.000000,1.000000,1,4,4_4_1995-02-22
1,4,1995-05-10,0.200000,0.200000,2,4,1_4_1995-05-10
1,2,1995-05-10,0.009000,0.009000,2,2,1_2_1995-05-10
2,1,1995-05-10,110.000000,110.000000,2,1,2_1_1995-05-10
1,3,1995-05-10,1.200000,1.200000,2,3,1_3_1995-05-10
3,1,1995-05-10,0.012000,0.012000,2,1,3_1_1995-05-10
4,1,1995-05-10,20.000000,20.000000,2,1,4_1_1995-05-10
1,1,1995-05-10,1.000000,1.000000,2,1,1_1_1995-05-10
2,2,1995-05-10,1.000000,1.000000,2,2,2_2_1995-05-10
4,4,1995-05-10,1.000000,1.000000,2,4,4_4_1995-05-10
1,4,1995-02-22,0.200000,0.200000,2,4,1_4_1995-02-22
1,2,1995-02-22,0.008000,0.008000,2,2,1_2_1995-02-22
2,1,1995-02-22,120.000000,120.000000,2,1,2_1_1995-02-22
1,3,1995-02-22,12.000000,12.000000,2,3,1_3_1995-02-22
3,1,1995-02-22,0.120000,0.120000,2,1,3_1_1995-02-22
4,1,1995-02-22,20.000000,20.000000,2,1,4_1_1995-02-22
1,1,1995-02-22,1.000000,1.000000,2,1,1_1_1995-02-22
2,2,1995-02-22,1.000000,1.000000,2,2,2_2_1995-02-22
4,4,1995-02-22,1.000000,1.000000,2,4,4_4_1995-02-22
1,4,1995-05-10,0.050000,0.050000,1,4,1_4_1995-05-10
1,2,1995-05-10,0.009000,0.009000,1,2,1_2_1995-05-10
2,1,1995-05-10,110.000000,110.000000,1,1,2_1_1995-05-10
1,3,1995-05-10,1.200000,1.200000,1,3,1_3_1995-05-10
3,1,1995-05-10,0.012000,0.012000,1,1,3_1_1995-05-10
4,1,1995-05-10,20.000000,20.000000,1,1,4_1_1995-05-10
1,1,1995-05-10,1.000000,1.000000,1,1,1_1_1995-05-10
2,2,1995-05-10,1.000000,1.000000,1,2,2_2_1995-05-10
4,4,1995-05-10,1.000000,1.000000,1,4,4_4_1995-05-10
1,4,1995-05-11,0.050000,0.050000,2,4,1_4_1995-05-11
1,2,1995-05-11,0.009000,0.009000,2,2,1_2_1995-05-11
2,1,1995-05-11,120.000000,120.000000,2,1,2_1_1995-05-11
1,3,1995-05-11,12.000000,12.000000,2,3,1_3_1995-05-11
3,1,1995-05-11,0.120000,0.120000,2,1,3_1_1995-05-11
4,1,1995-05-11,20.000000,20.000000,2,1,4_1_1995-05-11
1,1,1995-05-11,1.000000,1.000000,2,1,1_1_1995-05-11
2,2,1995-05-11,1.000000,1.000000,2,2,2_2_1995-05-11
4,4,1995-05-11,1.000000,1.000000,2,4,4_4_1995-05-11
1,4,1995-05-11,0.050000,0.050000,1,4,1_4_1995-05-11
1,2,1995-05-11,0.009000,0.009000,1,2,1_2_1995-05-11
2,1,1995-05-11,120.000000,120.000000,1,1,2_1_1995-05-11
1,3,1995-05-11,12.000000,12.000000,1,3,1_3_1995-05-11
3,1,1995-05-11,0.120000,0.120000,1,1,3_1_1995-05-11
4,1,1995-05-11,20.000000,20.000000,1,1,4_1_1995-05-11
1,1,1995-05-11,1.000000,1.000000,1,1,1_1_1995-05-11
2,2,1995-05-11,1.000000,1.000000,1,2,2_2_1995-05-11
4,4,1995-05-11,1.000000,1.000000,1,4,4_4_1995-05-11
1,4,1995-05-12,0.050000,0.060000,2,4,1_4_1995-05-12
1,2,1995-05-12,0.009000,0.009000,2,2,1_2_1995-05-12
2,1,1995-05-12,120.000000,120.000000,2,1,2_1_1995-05-12
1,3,1995-05-12,12.000000,12.000000,2,3,1_3_1995-05-12
3,1,1995-05-12,0.120000,0.120000,2,1,3_1_1995-05-12
4,1,1995-05-12,20.000000,20.000000,2,1,4_1_1995-05-12
1,1,1995-05-12,1.000000,1.000000,2,1,1_1_1995-05-12
2,2,1995-05-12,1.000000,1.000000,2,2,2_2_1995-05-12
4,4,1995-05-12,1.000000,1.000000,2,4,4_4_1995-05-12
1,4,1995-05-12,0.050000,0.050000,1,4,1_4_1995-05-12
1,2,1995-05-12,0.009000,0.009000,1,2,1_2_1995-05-12
2,1,1995-05-12,120.000000,120.000000,1,1,2_1_1995-05-12
1,3,1995-05-12,12.000000,12.000000,1,3,1_3_1995-05-12
3,1,1995-05-12,0.120000,0.120000,1,1,3_1_1995-05-12
4,1,1995-05-12,20.000000,20.000000,1,1,4_1_1995-05-12
1,1,1995-05-12,1.000000,1.000000,1,1,1_1_1995-05-12
2,2,1995-05-12,1.000000,1.000000,1,2,2_2_1995-05-12
4,4,1995-05-12,1.000000,1.000000,1,4,4_4_1995-05-12
1,5,1995-05-12,0.012500,0.012500,1,5,1_5_1995-05-12
1,5,1995-05-12,0.012500,0.012500,2,5,1_5_1995-05-12
1,4,1995-12-31,0.050000,0.050000,1,4,1_4_1995-12-31
1,2,1995-12-31,0.008300,0.008300,1,2,1_2_1995-12-31
2,1,1995-12-31,120.000000,120.000000,1,1,2_1_1995-12-31
1,3,1995-12-31,12.000000,12.000000,1,3,1_3_1995-12-31
3,1,1995-12-31,0.120000,0.120000,1,1,3_1_1995-12-31
4,1,1995-12-31,20.000000,20.000000,1,1,4_1_1995-12-31
1,1,1995-12-31,1.000000,1.000000,1,1,1_1_1995-12-31
2,2,1995-12-31,1.000000,1.000000,1,2,2_2_1995-12-31
4,4,1995-12-31,1.000000,1.000000,1,4,4_4_1995-12-31
1,5,1995-12-31,0.012500,0.012500,1,5,1_5_1995-12-31
1,4,1995-06-28,0.050000,0.060000,2,4,1_4_1995-06-28
1,2,1995-06-28,0.009000,0.009000,2,2,1_2_1995-06-28
2,1,1995-06-28,120.000000,120.000000,2,1,2_1_1995-06-28
1,3,1995-06-28,12.000000,12.000000,2,3,1_3_1995-06-28
3,1,1995-06-28,0.120000,0.120000,2,1,3_1_1995-06-28
4,1,1995-06-28,20.000000,20.000000,2,1,4_1_1995-06-28
1,1,1995-06-28,1.000000,1.000000,2,1,1_1_1995-06-28
2,2,1995-06-28,1.000000,1.000000,2,2,2_2_1995-06-28
4,4,1995-06-28,1.000000,1.000000,2,4,4_4_1995-06-28
1,5,1995-12-31,0.013000,0.012400,2,5,1_5_1995-12-31
2,1,1996-01-25,0.760000,0.760000,2,1,2_1_1996-01-25
4,1,1996-01-25,20.000000,20.000000,2,1,4_1_1996-01-25
1,4,1996-02-02,0.008000,0.008000,2,4,1_4_1996-02-02
1,2,1996-02-02,0.007600,0.007600,2,2,1_2_1996-02-02
2,1,1996-02-02,140.000000,140.000000,2,1,2_1_1996-02-02
1,4,1996-01-23,0.040000,0.035000,1,4,1_4_1996-01-23
1,2,1996-01-23,0.008000,0.005000,1,2,1_2_1996-01-23
2,1,1996-01-23,120.000000,120.000000,1,1,2_1_1996-01-23
1,3,1996-01-23,12.000000,12.000000,1,3,1_3_1996-01-23
3,1,1996-01-23,0.120000,0.120000,1,1,3_1_1996-01-23
4,1,1996-01-23,25.000000,25.000000,1,1,4_1_1996-01-23
1,1,1996-01-23,1.000000,1.000000,1,1,1_1_1996-01-23
2,2,1996-01-23,1.000000,1.000000,1,2,2_2_1996-01-23
4,4,1996-01-23,1.000000,1.000000,1,4,4_4_1996-01-23
1,3,1996-02-02,0.008300,0.008300,2,3,1_3_1996-02-02
3,1,1996-02-02,10.000000,10.000000,2,1,3_1_1996-02-02
4,1,1996-02-02,20.000000,20.000000,2,1,4_1_1996-02-02
1,1,1996-02-02,1.000000,1.000000,2,1,1_1_1996-02-02
2,2,1996-02-02,1.000000,1.000000,2,2,2_2_1996-02-02
4,4,1996-02-02,1.000000,1.000000,2,4,4_4_1996-02-02
1,4,1996-12-31,0.040000,0.040000,2,4,1_4_1996-12-31
1,2,1996-12-31,0.008300,0.008300,2,2,1_2_1996-12-31
