empresa,codigo,clv_art,precio_std_1,fecha_std_1,precio_std_2,precio_std_3,precio_std_4,precio_u_entrada,moneda,cambio,cambio_euro,tipo_iva,variante,empresa_id,codigo_id,moneda_id,name
,C0041200B,,,,,,,,,1.000000,,1,STAND,0,0_C0041200B,,0_C0041200B_STAND
,C0051200B,,,,,,,,,1.000000,,1,STAND,0,0_C0051200B,,0_C0051200B_STAND
1,PR/0048/0016,,,,,,,,,,,1,STAND,1,1_PR/0048/0016,,1_PR/0048/0016_STAND
1,PR/1605/0001,,,,,,,,,,,1,STAND,1,1_PR/1605/0001,,1_PR/1605/0001_STAND
1,PR/1474/0016,,,,,,,,,,,1,STAND,1,1_PR/1474/0016,,1_PR/1474/0016_STAND
1,56/00050B,,,,,,,8.18500,9,1.000000,,1,STAND,1,1_56/00050B,9,1_56/00050B_STAND
1,PR/1007/0040,,,,,,,,,,,1,STAND,1,1_PR/1007/0040,,1_PR/1007/0040_STAND
1,PR/0617/0045,,,,,,,,,,,1,STAND,1,1_PR/0617/0045,,1_PR/0617/0045_STAND
1,01/08205R,,,,,,,100.25800,9,1.000000,,1,STAND,1,1_01/08205R,9,1_01/08205R_STAND
1,PR/ELEC/0001,,,,,,,,,,,1,STAND,1,1_PR/ELEC/0001,,1_PR/ELEC/0001_STAND
1,PR/ELEC/0002,,,,,,,,,,,1,STAND,1,1_PR/ELEC/0002,,1_PR/ELEC/0002_STAND
1,PR/ELEC/0003,,,,,,,,,,,1,STAND,1,1_PR/ELEC/0003,,1_PR/ELEC/0003_STAND
1,PR/0RTE/0001,,,,,,,,,,,1,STAND,1,1_PR/0RTE/0001,,1_PR/0RTE/0001_STAND
1,02/09754,,,,,,,,,,,1,STAND,1,1_02/09754,,1_02/09754_STAND
1,92/00104A,,,,,,,0.00000,,0.000000,,1,STAND,1,1_92/00104A,,1_92/00104A_STAND
1,01/08708R,,,,,,,73.14500,9,1.000000,,1,STAND,1,1_01/08708R,9,1_01/08708R_STAND
