empresa,subcta,linea_producto,clv_sub,moneda,limite_credito,riesgo_cartera,riesgo_pedidos,fecha_u_compra,pts_no_factura,empresa_id,moneda_id,subcta_id,name
19,4301315,1,,9,0.00000,0.00000,0.00000,,0.00000,19,9,19_4301315,19_4301315_9
19,4301202,1,,9,0.00000,0.00000,0.00000,,0.00000,19,9,19_4301202,19_4301202_9
19,4301209,1,,9,0.00000,0.00000,0.00000,,0.00000,19,9,19_4301209,19_4301209_9
19,4301211,1,,9,0.00000,0.00000,0.00000,,0.00000,19,9,19_4301211,19_4301211_9
19,4301408,1,,9,0.00000,0.00000,0.00000,,0.00000,19,9,19_4301408,19_4301408_9
1,4310039,1,,9,0.00000,1560.43000,137.22000,,0.00000,1,9,1_4310039,1_4310039_9
1,4310043,1,,9,0.00000,1560.43000,137.22000,,0.00000,1,9,1_4310043,1_4310043_9
1,4310044,1,,9,0.00000,1560.43000,137.22000,,0.00000,1,9,1_4310044,1_4310044_9
1,4310045,1,,9,0.00000,1560.43000,137.22000,,0.00000,1,9,1_4310045,1_4310045_9
1,4310047,1,,9,0.00000,1560.43000,137.22000,,0.00000,1,9,1_4310047,1_4310047_9
1,4310079,1,,9,0.00000,1560.43000,137.22000,,0.00000,1,9,1_4310079,1_4310079_9
1,4310055,1,,9,0.00000,1560.43000,137.22000,,0.00000,1,9,1_4310055,1_4310055_9
1,4310054,1,,9,0.00000,1560.43000,137.22000,,0.00000,1,9,1_4310054,1_4310054_9
1,4310002,1,,9,0.00000,1560.43000,137.22000,,0.00000,1,9,1_4310002,1_4310002_9
1,4310062,1,,9,0.00000,1560.43000,137.22000,,0.00000,1,9,1_4310062,1_4310062_9
1,4310063,1,,9,0.00000,1560.43000,137.22000,,0.00000,1,9,1_4310063,1_4310063_9
1,4310064,1,,9,0.00000,1560.43000,137.22000,,0.00000,1,9,1_4310064,1_4310064_9
1,4310067,1,,9,0.00000,1560.43000,137.22000,,0.00000,1,9,1_4310067,1_4310067_9
1,4310068,1,,9,0.00000,1560.43000,137.22000,,0.00000,1,9,1_4310068,1_4310068_9
1,4310069,1,,9,0.00000,1560.43000,137.22000,,0.00000,1,9,1_4310069,1_4310069_9
1,4310077,1,,9,0.00000,1560.43000,137.22000,,0.00000,1,9,1_4310077,1_4310077_9
1,4310078,1,,9,0.00000,1560.43000,137.22000,,0.00000,1,9,1_4310078,1_4310078_9
1,4310057,1,,9,0.00000,1560.43000,137.22000,,0.00000,1,9,1_4310057,1_4310057_9
1,4310081,1,,9,0.00000,1560.43000,137.22000,,0.00000,1,9,1_4310081,1_4310081_9
1,4310084,1,,9,0.00000,1560.43000,137.22000,,0.00000,1,9,1_4310084,1_4310084_9
1,4301232,1,,9,0.00000,1560.43000,137.22000,2005-12-02,0.00000,1,9,1_4301232,1_4301232_9
1,4301236,1,,9,0.00000,1560.43000,137.22000,1998-02-25,0.00000,1,9,1_4301236,1_4301236_9
1,4310048,1,,9,0.00000,1560.43000,137.22000,,0.00000,1,9,1_4310048,1_4310048_9
1,4310060,1,,9,0.00000,1560.43000,137.22000,,0.00000,1,9,1_4310060,1_4310060_9
1,4301363,1,,9,0.00000,1560.43000,137.22000,2004-02-04,0.00000,1,9,1_4301363,1_4301363_9
1,4301150,1,,9,0.00000,1560.43000,137.22000,1998-09-18,0.00000,1,9,1_4301150,1_4301150_9
1,4310073,1,,9,0.00000,1560.43000,137.22000,,0.00000,1,9,1_4310073,1_4310073_9
1,4310001,1,,9,0.00000,1560.43000,137.22000,,0.00000,1,9,1_4310001,1_4310001_9
1,4310008,1,,9,0.00000,1560.43000,137.22000,,0.00000,1,9,1_4310008,1_4310008_9
1,4310007,1,,9,0.00000,1560.43000,137.22000,,0.00000,1,9,1_4310007,1_4310007_9
1,4310006,1,,9,0.00000,1560.43000,137.22000,,0.00000,1,9,1_4310006,1_4310006_9
1,4310010,1,,9,0.00000,1560.43000,137.22000,,0.00000,1,9,1_4310010,1_4310010_9
1,4310011,1,,9,0.00000,1560.43000,137.22000,,0.00000,1,9,1_4310011,1_4310011_9
1,4310012,1,,9,0.00000,1560.43000,137.22000,,0.00000,1,9,1_4310012,1_4310012_9
1,4310014,1,,9,0.00000,1560.43000,137.22000,,0.00000,1,9,1_4310014,1_4310014_9
1,4301145,1,,9,0.00000,1560.43000,137.22000,1996-11-11,0.00000,1,9,1_4301145,1_4301145_9
1,4310051,1,,9,0.00000,1560.43000,137.22000,,0.00000,1,9,1_4310051,1_4310051_9
1,4300882,1,,9,0.00000,1560.43000,137.22000,1997-02-10,0.00000,1,9,1_4300882,1_4300882_9
1,4301480,1,,9,0.00000,1560.43000,137.22000,2004-04-23,0.00000,1,9,1_4301480,1_4301480_9
1,4310075,1,,9,0.00000,1560.43000,137.22000,,0.00000,1,9,1_4310075,1_4310075_9
1,4310005,1,,9,0.00000,1560.43000,137.22000,,0.00000,1,9,1_4310005,1_4310005_9
1,4310042,1,,9,0.00000,1560.43000,137.22000,,0.00000,1,9,1_4310042,1_4310042_9
1,4301293,1,,9,0.00000,1560.43000,137.22000,2002-05-16,0.00000,1,9,1_4301293,1_4301293_9
1,4301192,1,,9,0.00000,1560.43000,137.22000,,0.00000,1,9,1_4301192,1_4301192_9
1,4310016,1,,9,0.00000,1560.43000,137.22000,,0.00000,1,9,1_4310016,1_4310016_9
1,4310023,1,,9,0.00000,1560.43000,137.22000,,0.00000,1,9,1_4310023,1_4310023_9
1,4301276,1,,9,0.00000,1560.43000,137.22000,1999-03-31,0.00000,1,9,1_4301276,1_4301276_9
1,4301297,1,,9,0.00000,1560.43000,137.22000,1999-11-26,0.00000,1,9,1_4301297,1_4301297_9
1,4300567,1,,9,0.00000,1560.43000,137.22000,,0.00000,1,9,1_4300567,1_4300567_9
1,4310053,1,,9,0.00000,1560.43000,137.22000,,0.00000,1,9,1_4310053,1_4310053_9
19,4300267,1,,9,0.00000,0.00000,0.00000,,0.00000,19,9,19_4300267,19_4300267_9
1,4000731,1,,9,0.00000,0.00000,0.00000,,0.00000,1,9,1_4000731,1_4000731_9
1,4301868,1,,3,3000.00000,0.00000,0.00000,,0.00000,1,3,1_4301868,1_4301868_3
19,4301241,1,,9,0.00000,0.00000,0.00000,,0.00000,19,9,19_4301241,19_4301241_9
19,4301154,1,,9,0.00000,0.00000,0.00000,,0.00000,19,9,19_4301154,19_4301154_9
19,4301176,1,,9,0.00000,0.00000,0.00000,,0.00000,19,9,19_4301176,19_4301176_9
19,4300297,1,,9,0.00000,0.00000,0.00000,,0.00000,19,9,19_4300297,19_4300297_9
19,4301181,1,,9,0.00000,0.00000,0.00000,,0.00000,19,9,19_4301181,19_4301181_9
19,4301678,1,,9,0.00000,0.00000,0.00000,,0.00000,19,9,19_4301678,19_4301678_9
19,4301504,1,,9,0.00000,0.00000,0.00000,,0.00000,19,9,19_4301504,19_4301504_9
19,4301240,1,,9,0.00000,0.00000,0.00000,,0.00000,19,9,19_4301240,19_4301240_9
19,4300634,1,,9,0.00000,0.00000,0.00000,,0.00000,19,9,19_4300634,19_4300634_9
19,4300200,1,,9,0.00000,0.00000,0.00000,,0.00000,19,9,19_4300200,19_4300200_9
19,4300040,1,,9,0.00000,0.00000,0.00000,,0.00000,19,9,19_4300040,19_4300040_9
19,4300225,1,,9,0.00000,0.00000,0.00000,,0.00000,19,9,19_4300225,19_4300225_9
19,4301457,1,,9,0.00000,0.00000,0.00000,,0.00000,19,9,19_4301457,19_4301457_9
19,4300211,1,,9,0.00000,0.00000,0.00000,,0.00000,19,9,19_4300211,19_4300211_9
1,4301000,1,,9,0.00000,1560.43000,137.22000,2023-10-10,0.00000,1,9,1_4301000,1_4301000_9
1,4300844,1,,9,0.00000,1560.43000,137.22000,,0.00000,1,9,1_4300844,1_4300844_9
1,4301493,1,,9,0.00000,1560.43000,137.22000,2004-07-29,0.00000,1,9,1_4301493,1_4301493_9
1,4310004,1,,9,0.00000,1560.43000,137.22000,,0.00000,1,9,1_4310004,1_4310004_9
1,4310049,1,,9,0.00000,1560.43000,137.22000,,0.00000,1,9,1_4310049,1_4310049_9
1,4301463,1,,9,0.00000,1560.43000,137.22000,2003-06-16,0.00000,1,9,1_4301463,1_4301463_9
1,4300309,1,,9,0.00000,1560.43000,137.22000,,0.00000,1,9,1_4300309,1_4300309_9
1,4301373,1,,9,0.00000,1560.43000,137.22000,2001-11-14,0.00000,1,9,1_4301373,1_4301373_9
1,4310013,1,,9,0.00000,1560.43000,137.22000,,0.00000,1,9,1_4310013,1_4310013_9
1,4301198,1,,9,0.00000,1560.43000,137.22000,1997-09-09,0.00000,1,9,1_4301198,1_4301198_9
1,4310059,1,,9,0.00000,1560.43000,137.22000,,0.00000,1,9,1_4310059,1_4310059_9
1,4310003,1,,9,0.00000,1560.43000,137.22000,,0.00000,1,9,1_4310003,1_4310003_9
1,4310066,1,,9,0.00000,1560.43000,137.22000,,0.00000,1,9,1_4310066,1_4310066_9
1,4310076,1,,9,0.00000,1560.43000,137.22000,,0.00000,1,9,1_4310076,1_4310076_9
1,4310058,1,,9,0.00000,1560.43000,137.22000,,0.00000,1,9,1_4310058,1_4310058_9
1,4301168,1,,9,0.00000,1560.43000,137.22000,2001-02-16,0.00000,1,9,1_4301168,1_4301168_9
1,4301492,1,,9,0.00000,1560.43000,137.22000,,0.00000,1,9,1_4301492,1_4301492_9
1,4301052,1,,9,0.00000,1560.43000,137.22000,,0.00000,1,9,1_4301052,1_4301052_9
1,4300872,1,,9,0.00000,1560.43000,137.22000,1996-10-10,0.00000,1,9,1_4300872,1_4300872_9
1,4301406,1,,9,0.00000,1560.43000,137.22000,2002-02-25,0.00000,1,9,1_4301406,1_4301406_9
1,4310017,1,,9,0.00000,1560.43000,137.22000,,0.00000,1,9,1_4310017,1_4310017_9
