empresa,ejercicio,tipo_movimiento,pedido,linea_pedido,clv_ped,fecha_servicio,articulo,acumula,cantidad,bultos,cantidad_s,bultos_s,precio,precio_iva,tipo_precio,descuento_1,descuento_2,descuento_3,comision_1,comision_2,comision_3,tipo_iva,variante,iva,recargo_e,precio_coste,pts_kl,aplic_pt_kl,total_linea,total_linea_base,total_linea_euro,moneda,cambio,cambio_euro,almacen,subcta,linea_producto,clv_sub,fecha_documento,presupuesto,linea_presupuesto,triangulado,lote_interno,od_linea,codexpe,campo1,campo2,porcentaje,eur_kg,empresa_id,moneda_id,almacen_id,pedido_id,name
1,2023,PC,23000033,12,,2023-02-20,..,1,1.000,1.000,1.000,1.000,0.00000,0.00000,,0.00,0.00,0.00,0.00,0.00,0.00,0,STAND,0.00,0.00,0.00000,0.00000,,0.00000,0.00000,,9,1.000000,,1,4000232,1,,2023-01-23,,,,,12,,,,,,1,9,1_1,1_1_PC_23000033,1_1_PC_23000033_12
1,2023,PV,23000647,1,,2023-12-12,04/024000032,1,100.000,0.000,100.000,0.000,10.65000,10.65000,0,0.00,0.00,0.00,0.00,0.00,0.00,1,STAND,21.00,0.00,5.34700,,0,0.00000,0.00000,,9,1.000000,,1,4300240,1,,2023-11-28,,,,,1,,,,,,1,9,1_1,1_1_PV_23000647,1_1_PV_23000647_1
1,2023,PV,23000169,2,,2023-03-15,..,1,1.000,1.000,1.000,1.000,0.00000,0.00000,,0.00,0.00,0.00,0.00,0.00,0.00,0,STAND,0.00,0.00,0.00000,,,0.00000,0.00000,,9,1.000000,,1,4300357,1,,2023-03-14,,,,,2,,,,,,1,9,1_1,1_1_PV_23000169,1_1_PV_23000169_2
1,2023,PV,23000257,3,,2023-04-28,01/09700,1,1.000,0.000,1.000,0.000,9.20000,9.20000,0,0.00,0.00,0.00,0.00,0.00,0.00,1,STAND,21.00,0.00,5.27501,,0,0.00000,0.00000,,9,1.000000,,1,4300357,1,,2023-04-27,,,,,3,,,,,,1,9,1_1,1_1_PV_23000257,1_1_PV_23000257_3
1,2023,PV,23000169,4,,2023-03-15,..,1,1.000,1.000,1.000,1.000,0.00000,0.00000,,0.00,0.00,0.00,0.00,0.00,0.00,0,STAND,0.00,0.00,0.00000,,,0.00000,0.00000,,9,1.000000,,1,4300357,1,,2023-03-14,,,,,4,,,,,,1,9,1_1,1_1_PV_23000169,1_1_PV_23000169_4
1,2023,PV,23000618,5,,2023-12-11,10/10180,1,48.000,0.000,48.000,0.000,0.30000,0.30000,0,0.00,0.00,0.00,0.00,0.00,0.00,1,STAND,21.00,0.00,0.03581,,0,0.00000,0.00000,,9,1.000000,,1,4301682,1,,2023-11-14,,,,,5,,,,,,1,9,1_1,1_1_PV_23000618,1_1_PV_23000618_5
1,2023,PV,23000169,1,,2023-03-15,01/09700,1,2.000,0.000,2.000,0.000,0.00000,0.00000,1,0.00,0.00,0.00,0.00,0.00,0.00,1,STAND,21.00,0.00,4.83631,,0,0.00000,0.00000,,9,1.000000,,1,4300357,1,,2023-03-14,,,,,1,,,,,,1,9,1_1,1_1_PV_23000169,1_1_PV_23000169_1
1,2023,PC,23000390,6,,2024-01-10,..12/80931,1,1.000,1.000,1.000,1.000,0.00000,0.00000,,0.00,0.00,0.00,0.00,0.00,0.00,0,STAND,0.00,0.00,0.00000,0.00000,,0.00000,0.00000,,9,1.000000,,1,4000038,1,,2023-12-18,,,,,6,,,,,,1,9,1_1,1_1_PC_23000390,1_1_PC_23000390_6
1,2023,PC,23000384,10,,2023-12-18,..12/80941,1,1.000,1.000,1.000,1.000,0.00000,0.00000,,0.00,0.00,0.00,0.00,0.00,0.00,0,STAND,0.00,0.00,0.00000,0.00000,,0.00000,0.00000,,9,1.000000,,1,4000038,1,,2023-12-05,,,,,10,,,,,,1,9,1_1,1_1_PC_23000384,1_1_PC_23000384_10
1,2023,PC,23000384,11,,2023-12-18,..12/80941,1,1.000,1.000,1.000,1.000,0.00000,0.00000,,0.00,0.00,0.00,0.00,0.00,0.00,0,STAND,0.00,0.00,0.00000,0.00000,,0.00000,0.00000,,9,1.000000,,1,4000038,1,,2023-12-05,,,,,11,,,,,,1,9,1_1,1_1_PC_23000384,1_1_PC_23000384_11
1,2023,PV,23000398,3,,2023-07-24,02/10093R,1,3.000,0.000,3.000,0.000,0.00000,0.00000,1,0.00,0.00,0.00,0.00,0.00,0.00,1,STAND,21.00,0.00,19.53902,,0,0.00000,0.00000,,9,1.000000,,1,4301557,1,,2023-07-04,,,,,3,,,,,,1,9,1_1,1_1_PV_23000398,1_1_PV_23000398_3
1,2023,PC,23000390,9,,2024-01-10,..12/80931,1,1.000,1.000,1.000,1.000,,,,0.00,0.00,0.00,0.00,0.00,0.00,0,STAND,0.00,0.00,0.00000,0.00000,,0.00000,0.00000,,9,1.000000,,1,4000038,1,,2023-12-18,,,,,9,,,,,,1,9,1_1,1_1_PC_23000390,1_1_PC_23000390_9
1,2023,PV,23000398,6,,2023-07-24,..,1,1.000,1.000,1.000,1.000,0.00000,0.00000,,0.00,0.00,0.00,0.00,0.00,0.00,0,STAND,0.00,0.00,0.00000,,,0.00000,0.00000,,9,1.000000,,1,4301557,1,,2023-07-04,,,,,6,,,,,,1,9,1_1,1_1_PV_23000398,1_1_PV_23000398_6
1,2023,PV,23000180,2,,2023-03-27,..03/2431055,1,1.000,1.000,1.000,1.000,,,,0.00,0.00,0.00,0.00,0.00,0.00,0,STAND,0.00,0.00,0.00000,,,0.00000,0.00000,,9,1.000000,,1,4300718,1,,2023-03-17,,,,,2,,,,,,1,9,1_1,1_1_PV_23000180,1_1_PV_23000180_2
