empresa,ejercicio,almacen,documento,tipo_doc,subcta,fecha,importe,moneda,cambio,cambio_euro,asiento,orden,tipo,tpv,clave,empresa_id,ejercicio_id,almacen_id,subcta_id,moneda_id,tpv_id,name
1,2016,1,16000321,SV,4300617,2016-04-15,202.68000,9,1.000000,,,,1,1,1604191757190617,1,1_2016,1_1,1_4300617,9,1_1,1_1
1,2016,1,16000339,SV,4300019,2016-04-20,660.66000,9,1.000000,,,,1,1,1604201700040019,1,1_2016,1_1,1_4300019,9,1_1,1_1
1,2016,1,16000340,SV,4301559,2016-04-20,544.50000,9,1.000000,,,,1,1,1604201739201559,1,1_2016,1_1,1_4301559,9,1_1,1_1
1,2016,1,16000341,SV,4300012,2016-04-21,163.57000,9,1.000000,,,,1,1,1604210745170012,1,1_2016,1_1,1_4300012,9,1_1,1_1
1,2016,1,16000343,SV,4300267,2016-04-21,12168.73000,9,1.000000,,,,1,1,1604210755300267,1,1_2016,1_1,1_4300267,9,1_1,1_1
1,2016,1,16000359,SV,4300619,2016-04-26,353.08000,9,1.000000,,,,1,1,1604261635390619,1,1_2016,1_1,1_4300619,9,1_1,1_1
1,2016,1,16000360,SV,4301745,2016-04-27,2204.14000,9,1.000000,,,,1,1,1604270732011745,1,1_2016,1_1,1_4301745,9,1_1,1_1
1,2016,1,16000346,SV,4300617,2016-04-22,699.38000,9,1.000000,,,,1,1,1604221136590617,1,1_2016,1_1,1_4300617,9,1_1,1_1
1,2016,1,16000347,SV,4300228,2016-04-22,1325.19000,9,1.000000,,,,1,1,1604221139500228,1,1_2016,1_1,1_4300228,9,1_1,1_1
1,2016,1,16000348,SV,4301708,2016-04-22,810.70000,9,1.000000,,,,1,1,1604221441141708,1,1_2016,1_1,1_4301708,9,1_1,1_1
1,2016,1,16000349,SV,4301762,2016-04-22,169.40000,9,1.000000,,,,1,1,1604221446111762,1,1_2016,1_1,1_4301762,9,1_1,1_1
1,2016,1,16000387,SV,4300690,2016-05-04,250.64000,9,1.000000,,,,1,1,1605041719030690,1,1_2016,1_1,1_4300690,9,1_1,1_1
1,2016,1,16000351,SV,4300228,2016-04-25,1475.41000,9,1.000000,,,,1,1,1604250743170228,1,1_2016,1_1,1_4300228,9,1_1,1_1
1,2016,1,16000370,SV,4302013,2016-04-29,428.49000,9,1.000000,,,,1,1,1604290813152013,1,1_2016,1_1,1_4302013,9,1_1,1_1
1,2016,1,16000338,SV,4301474,2016-04-20,2581.47000,9,1.000000,,,,1,1,1604250819031474,1,1_2016,1_1,1_4301474,9,1_1,1_1
1,2016,1,16000353,SV,4300228,2016-04-25,395.67000,9,1.000000,,,,1,1,1604250820310228,1,1_2016,1_1,1_4300228,9,1_1,1_1
