empresa,ejercicio,documento,tipo_doc,almacen,orden,c1,c2,c3,facturado,empresa_id,almacen_id,documento_id,name
1,2023,23000007,PC,1,2,,,,0,1,1_1,1_1_PC_23000007_2,1_1_PC_23000007_2
1,2023,23000007,PC,1,3,,,,0,1,1_1,1_1_PC_23000007_3,1_1_PC_23000007_3
1,2023,23000007,PC,1,4,,,,0,1,1_1,1_1_PC_23000007_4,1_1_PC_23000007_4
1,2023,23000019,PC,1,2,,,,0,1,1_1,1_1_PC_23000019_2,1_1_PC_23000019_2
1,2023,23000022,PC,1,2,,,,0,1,1_1,1_1_PC_23000022_2,1_1_PC_23000022_2
1,2023,23000091,PC,1,1,,,,0,1,1_1,1_1_PC_23000091_1,1_1_PC_23000091_1
1,2023,23000030,PC,1,3,,,,0,1,1_1,1_1_PC_23000030_3,1_1_PC_23000030_3
1,2023,23000005,PC,1,1,,,,0,1,1_1,1_1_PC_23000005_1,1_1_PC_23000005_1
1,2023,23000001,PC,1,1,,,,0,1,1_1,1_1_PC_23000001_1,1_1_PC_23000001_1
1,2023,23000001,PC,1,2,,,,0,1,1_1,1_1_PC_23000001_2,1_1_PC_23000001_2
1,2023,23000002,PC,1,1,,,,0,1,1_1,1_1_PC_23000002_1,1_1_PC_23000002_1
1,2023,23000002,PC,1,2,,,,0,1,1_1,1_1_PC_23000002_2,1_1_PC_23000002_2
1,2023,23000002,PC,1,3,,,,0,1,1_1,1_1_PC_23000002_3,1_1_PC_23000002_3
1,2023,23000034,PC,1,1,,,,0,1,1_1,1_1_PC_23000034_1,1_1_PC_23000034_1
1,2023,23000004,PC,1,1,,,,0,1,1_1,1_1_PC_23000004_1,1_1_PC_23000004_1
1,2023,23000004,PC,1,2,,,,0,1,1_1,1_1_PC_23000004_2,1_1_PC_23000004_2
1,2023,23000004,PC,1,3,,,,0,1,1_1,1_1_PC_23000004_3,1_1_PC_23000004_3
1,2023,23000004,PC,1,4,,,,0,1,1_1,1_1_PC_23000004_4,1_1_PC_23000004_4
1,2023,23000034,PC,1,2,,,,0,1,1_1,1_1_PC_23000034_2,1_1_PC_23000034_2
1,2023,23000005,PC,1,2,,,,0,1,1_1,1_1_PC_23000005_2,1_1_PC_23000005_2
1,2023,23000005,PC,1,3,,,,0,1,1_1,1_1_PC_23000005_3,1_1_PC_23000005_3
1,2023,23000016,PC,1,1,,,,0,1,1_1,1_1_PC_23000016_1,1_1_PC_23000016_1
1,2023,23000017,PC,1,1,,,,0,1,1_1,1_1_PC_23000017_1,1_1_PC_23000017_1
1,2023,23000009,PC,1,1,,,,0,1,1_1,1_1_PC_23000009_1,1_1_PC_23000009_1
1,2023,23000010,PC,1,3,,,,0,1,1_1,1_1_PC_23000010_3,1_1_PC_23000010_3
1,2023,23000040,PC,1,1,,,,0,1,1_1,1_1_PC_23000040_1,1_1_PC_23000040_1
1,2023,23000040,PC,1,2,,,,0,1,1_1,1_1_PC_23000040_2,1_1_PC_23000040_2
1,2023,23000008,PC,1,1,,,,0,1,1_1,1_1_PC_23000008_1,1_1_PC_23000008_1
1,2023,23000008,PC,1,2,,,,0,1,1_1,1_1_PC_23000008_2,1_1_PC_23000008_2
1,2023,23000021,PC,1,1,,,,0,1,1_1,1_1_PC_23000021_1,1_1_PC_23000021_1
1,2023,23000022,PC,1,3,,,,0,1,1_1,1_1_PC_23000022_3,1_1_PC_23000022_3
1,2023,23000022,PC,1,4,,,,0,1,1_1,1_1_PC_23000022_4,1_1_PC_23000022_4
1,2023,23000012,PC,1,1,,,,0,1,1_1,1_1_PC_23000012_1,1_1_PC_23000012_1
1,2023,23000012,PC,1,2,,,,0,1,1_1,1_1_PC_23000012_2,1_1_PC_23000012_2
1,2023,23000021,PC,1,2,,,,0,1,1_1,1_1_PC_23000021_2,1_1_PC_23000021_2
1,2023,23000014,PC,1,1,,,,0,1,1_1,1_1_PC_23000014_1,1_1_PC_23000014_1
1,2023,23000014,PC,1,2,,,,0,1,1_1,1_1_PC_23000014_2,1_1_PC_23000014_2
1,2023,23000041,PC,1,1,,,,0,1,1_1,1_1_PC_23000041_1,1_1_PC_23000041_1
1,2023,23000041,PC,1,2,,,,0,1,1_1,1_1_PC_23000041_2,1_1_PC_23000041_2
1,2023,23000039,PC,1,1,,,,0,1,1_1,1_1_PC_23000039_1,1_1_PC_23000039_1
