empresa,ejercicio,almacen,fecha_sf,fecha_ef,documento_sf,documento_ef,lote,subcta_c,subcta_s,pedido,linea_pedido,articulo,cantidad_sf,cantidad_ef,observaciones,n_traspaso,estado,of_original,empresa_id,almacen_id,ejercicio_id,name
1,2023,1,2023-01-23,2023-01-25,3190,3190,,4300617,,23000049,,02/1051503,50.000,50.000,,,1,,1,1_1,1_2023,1_2023_1_3190
1,2023,1,2023-01-24,2023-01-25,3193,3193,,4300617,,23000054,,02/1081702,2.000,2.000,,,1,,1,1_1,1_2023,1_2023_1_3193
1,2023,1,2023-01-12,2023-01-27,3148,3148,,4302013,,23000021,,01/09198,20.000,20.000,,,1,,1,1_1,1_2023,1_2023_1_3148
1,2023,1,2023-01-13,2023-01-19,3160,3160,,4301557,,23000027,,02/10384R,2.000,2.000,,,1,,1,1_1,1_2023,1_2023_1_3160
1,2023,1,2023-01-16,2023-01-19,3166,3166,,4300837,,23000029,,02/10696R,1.000,1.000,,,1,,1,1_1,1_2023,1_2023_1_3166
1,2023,1,2023-01-13,2023-01-19,3161,3161,,4301557,,23000027,,02/10093R,10.000,10.000,,,1,,1,1_1,1_2023,1_2023_1_3161
1,2023,1,2023-01-13,2023-01-19,3163,3163,,4301557,,23000027,,02/10521AR,13.000,13.000,,,1,,1,1_1,1_2023,1_2023_1_3163
1,2023,1,2023-01-16,2023-01-19,3165,3165,,4300837,,23000029,,02/07530BR,5.000,5.000,,,1,,1,1_1,1_2023,1_2023_1_3165
1,2023,1,2023-01-26,2023-02-14,3204,3204,,4300013,,23000034,,01/10303,1.000,1.000,,,1,,1,1_1,1_2023,1_2023_1_3204
1,2023,1,2023-02-06,2023-02-22,3257,3257,,4301557,,23000086,,02/09738,80.000,80.000,,,1,,1,1_1,1_2023,1_2023_1_3257
1,2023,1,2023-01-30,2023-02-15,3206,3206,,4300104,,23000064,,01/10075,10.000,10.000,,,1,,1,1_1,1_2023,1_2023_1_3206
1,2023,1,2023-01-30,2023-02-15,3220,3220,,4300617,,23000065,,02/1062701,60.000,60.000,,,1,,1,1_1,1_2023,1_2023_1_3220
