empresa,codigo,descripcion_1,descripcion_2,v_int,v_dec1,v_dec2,v_char,parametro,empresa_id,name
999,20001,"Tipo Control bloqueo subcuenta en Cartera de Pagos: '0' Ninguno, '1' No permite",pasar si está bloqueado.,,,,,0,999,999_20001
999,20002,"Tipo Control bloqueo subcuenta en Cartera de Cobros: '0' Ninguno, '1' No permite",pasar si está bloqueado.,,,,,0,999,999_20002
999,20003,"Control existencia n£mero documento de Proveedor: '0' No, '1' Si",,,,,,0,999,999_20003
999,20004,"Modificaci¢n de vencimientos en Facturasde Servicios: '0' No, '1' Si",,,,,,1,999,999_20004
999,20005,FACTURAS DE SERVICIOS. Descripciones de los apuntes del asiento de la factura.,'0' Una única para el asiento. '1' La pide para cada subuenta de detalle.,,,,,0,999,999_20005
999,20006,FACTURAS DE SERVICIOS. Origen registro IVA para subcuentas compras y gastos.,'0' Prefijadas por programa. '1' Permite la introducción manual.,,,,,0,999,999_20006
1,20007,*************  ANTICIPOS  **************  * APUNTES MODIFICACION DESCRIPCION2 *,0 - No Permite modificar descripcion2   1 - Permite modificar descripcion2,,,,,0,1,1_20007
19,20007,*************  ANTICIPOS  **************  * APUNTES MODIFICACION DESCRIPCION2 *,0 - No Permite modificar descripcion2   1 - Permite modificar descripcion2,,,,,0,19,19_20007
999,20007,*************  ANTICIPOS  **************  * APUNTES MODIFICACION DESCRIPCION2 *,0 - No Permite modificar descripcion2   1 - Permite modificar descripcion2,,,,,0,999,999_20007
1,20008,FACTURAS DE SERVICIOS. Siempre que el parametro 20006 este con la opcion 0.,0 - No permite la introduccion manual.  1 - Permite la introduccion manual.,,,,,0,1,1_20008
1,11117,*** NO SE USA ***, ,,,,,0,1,1_11117
19,11117,*** NO SE USA ***, ,,,,,0,19,19_11117
999,11117,*** NO SE USA ***, ,,,,,0,999,999_11117
1,11118,*** NO SE USA ***, ,,,,,0,1,1_11118
19,11118,*** NO SE USA ***, ,,,,,0,19,19_11118
999,11118,*** NO SE USA ***, ,,,,,0,999,999_11118
1,11119,*** NO SE USA ***, ,,,,,0,1,1_11119
19,11119,*** NO SE USA ***, ,,,,,0,19,19_11119
999,11119,*** NO SE USA ***, ,,,,,0,999,999_11119
1,11121,*** NO SE USA ***, ,,,,,0,1,1_11121
19,11121,*** NO SE USA ***, ,,,,,0,19,19_11121
999,11121,*** NO SE USA ***, ,,,,,0,999,999_11121
1,11122,*** NO SE USA ***, ,,,,,0,1,1_11122
19,11122,*** NO SE USA ***, ,,,,,0,19,19_11122
999,11122,*** NO SE USA ***, ,,,,,0,999,999_11122
1,11123,BAJA PEDIDO CON CANTIDADES SERVIDAS-TPV '0' - Baja Normal del Pedido.,'1' - Opcion Eliminar o Liquidar Pedido.,,,,,0,1,1_11123
19,11123,BAJA PEDIDO CON CANTIDADES SERVIDAS-TPV '0' - Baja Normal del Pedido.,'1' - Opcion Eliminar o Liquidar Pedido.,,,,,0,19,19_11123
999,11123,BAJA PEDIDO CON CANTIDADES SERVIDAS-TPV '0' - Baja Normal del Pedido.,'1' - Opcion Eliminar o Liquidar Pedido.,,,,,0,999,999_11123
1,11124,*** NO SE USA ***, ,,,,,0,1,1_11124
19,11124,*** NO SE USA ***, ,,,,,0,19,19_11124
999,11124,*** NO SE USA ***, ,,,,,0,999,999_11124
1,11125,*** NO SE USA ***, ,,,,,0,1,1_11125
19,11125,*** NO SE USA ***, ,,,,,0,19,19_11125
999,11125,*** NO SE USA ***, ,,,,,0,999,999_11125
1,11126,*ENTRADA FRACC. CODIGO ARTICULO  TPV-PP*'0' Entrada Normal Codigo Articulo.,'1' Entrada Fraccionada Codigo Articulo.,,,,,0,1,1_11126
19,11126,*ENTRADA FRACC. CODIGO ARTICULO  TPV-PP*'0' Entrada Normal Codigo Articulo.,'1' Entrada Fraccionada Codigo Articulo.,,,,,0,19,19_11126
999,11126,*ENTRADA FRACC. CODIGO ARTICULO  TPV-PP*'0' Entrada Normal Codigo Articulo.,'1' Entrada Fraccionada Codigo Articulo.,,,,,0,999,999_11126
1,11127,*ENTRADA FRACC. CODIGO ARTICULO  TPV-PV*'0' Entrada Normal Codigo Articulo.,'1' Entrada Fraccionada Codigo Articulo.,,,,,0,1,1_11127
19,11127,*ENTRADA FRACC. CODIGO ARTICULO  TPV-PV*'0' Entrada Normal Codigo Articulo.,'1' Entrada Fraccionada Codigo Articulo.,,,,,0,19,19_11127
999,11127,*ENTRADA FRACC. CODIGO ARTICULO  TPV-PV*'0' Entrada Normal Codigo Articulo.,'1' Entrada Fraccionada Codigo Articulo.,,,,,0,999,999_11127
1,11128,*ENTRADA FRACC. CODIGO ARTICULO  TPV-SV*'0' Entrada Normal Codigo Articulo.,'1' Entrada Fraccionada Codigo Articulo.,,,,,0,1,1_11128
19,11128,*ENTRADA FRACC. CODIGO ARTICULO  TPV-SV*'0' Entrada Normal Codigo Articulo.,'1' Entrada Fraccionada Codigo Articulo.,,,,,0,19,19_11128
999,11128,*ENTRADA FRACC. CODIGO ARTICULO  TPV-SV*'0' Entrada Normal Codigo Articulo.,'1' Entrada Fraccionada Codigo Articulo.,,,,,0,999,999_11128
1,11129,*** NO SE USA ***, ,,,,,0,1,1_11129
19,11129,*** NO SE USA ***, ,,,,,0,19,19_11129
999,11129,*** NO SE USA ***, ,,,,,0,999,999_11129
1,11130,*** NO SE USA ***, ,,,,,0,1,1_11130
19,11130,*** NO SE USA ***, ,,,,,0,19,19_11130
999,11130,*** NO SE USA ***, ,,,,,0,999,999_11130
1,11131,*** NO SE USA ***, ,,,,,0,1,1_11131
19,11131,*** NO SE USA ***, ,,,,,0,19,19_11131
999,11131,*** NO SE USA ***, ,,,,,0,999,999_11131
1,11132,*** NO SE USA ***, ,,,,,0,1,1_11132
19,11132,*** NO SE USA ***, ,,,,,0,19,19_11132
999,11132,*** NO SE USA ***, ,,,,,0,999,999_11132
1,11133,0 - Desactivado. Solo comprobara que la 1 - Comprobara que sea la que marca el,empresa alternativa existe.             auxiliar de la empresa como alternativa.,,,,,0,1,1_11133
999,11102,*** NO SE USA ***, ,,,,,0,999,999_11102
19,11044,*** NO SE USA ***, ,,,,,0,19,19_11044
19,11133,0 - Desactivado. Solo comprobara que la 1 - Comprobara que sea la que marca el,empresa alternativa existe.             auxiliar de la empresa como alternativa.,,,,,0,19,19_11133
999,11133,0 - Desactivado. Solo comprobara que la 1 - Comprobara que sea la que marca el,empresa alternativa existe.             auxiliar de la empresa como alternativa.,,,,,0,999,999_11133
1,11134,*** NO SE USA ***, ,,,,,0,1,1_11134
19,11134,*** NO SE USA ***, ,,,,,0,19,19_11134
999,11134,*** NO SE USA ***, ,,,,,0,999,999_11134
1,11135,*CONTROL EXISTENCIA PEDIDO EN ALBARANES*'0' No Abrir la Ventana - Fijo = No.,'1' No Abrir la Ventana - Fijo = Si.    '2' Abrir la Ventana.,,,,,0,1,1_11135
19,11135,*CONTROL EXISTENCIA PEDIDO EN ALBARANES*'0' No Abrir la Ventana - Fijo = No.,'1' No Abrir la Ventana - Fijo = Si.    '2' Abrir la Ventana.,,,,,0,19,19_11135
999,11135,*CONTROL EXISTENCIA PEDIDO EN ALBARANES*'0' No Abrir la Ventana - Fijo = No.,'1' No Abrir la Ventana - Fijo = Si.    '2' Abrir la Ventana.,,,,,0,999,999_11135
1,11136,*VER ASIENTO DESPUES DE GENERAR FACTURA*'0' No Abrir la Ventana - Fijo = No.,'1' No Abrir la Ventana - Fijo = Si.    '2' Abrir la Ventana.,,,,,0,1,1_11136
19,11136,*VER ASIENTO DESPUES DE GENERAR FACTURA*'0' No Abrir la Ventana - Fijo = No.,'1' No Abrir la Ventana - Fijo = Si.    '2' Abrir la Ventana.,,,,,0,19,19_11136
999,11136,*VER ASIENTO DESPUES DE GENERAR FACTURA*'0' No Abrir la Ventana - Fijo = No.,'1' No Abrir la Ventana - Fijo = Si.    '2' Abrir la Ventana.,,,,,0,999,999_11136
1,11137,**F5 ARTICULOS LINEAS DOCUMENTO TPV-PP**'0' No Muestra Artic. con Ficha Cerrada.,'1' Muestra Articulo  con Ficha Cerrada.,,,,,0,1,1_11137
19,11137,**F5 ARTICULOS LINEAS DOCUMENTO TPV-PP**'0' No Muestra Artic. con Ficha Cerrada.,'1' Muestra Articulo  con Ficha Cerrada.,,,,,0,19,19_11137
999,11137,**F5 ARTICULOS LINEAS DOCUMENTO TPV-PP**'0' No Muestra Artic. con Ficha Cerrada.,'1' Muestra Articulo  con Ficha Cerrada.,,,,,0,999,999_11137
1,11138,**F5 ARTICULOS LINEAS DOCUMENTO TPV-PV**'0' No muestra Artic. con Ficha Cerrada.,'1' Muestra Articulo  con Ficha Cerrada.,,,,,0,1,1_11138
19,11138,**F5 ARTICULOS LINEAS DOCUMENTO TPV-PV**'0' No muestra Artic. con Ficha Cerrada.,'1' Muestra Articulo  con Ficha Cerrada.,,,,,0,19,19_11138
999,11138,**F5 ARTICULOS LINEAS DOCUMENTO TPV-PV**'0' No muestra Artic. con Ficha Cerrada.,'1' Muestra Articulo  con Ficha Cerrada.,,,,,0,999,999_11138
1,11139,**F5 ARTICULOS LINEAS DOCUMENTO TPV-SV**'0' No muestra Artic. con Ficha Cerrada.,'1' Muestra Articulo  con Ficha Cerrada.,,,,,0,1,1_11139
19,11139,**F5 ARTICULOS LINEAS DOCUMENTO TPV-SV**'0' No muestra Artic. con Ficha Cerrada.,'1' Muestra Articulo  con Ficha Cerrada.,,,,,0,19,19_11139
999,11139,**F5 ARTICULOS LINEAS DOCUMENTO TPV-SV**'0' No muestra Artic. con Ficha Cerrada.,'1' Muestra Articulo  con Ficha Cerrada.,,,,,0,999,999_11139
1,11140,*** NO SE USA ***, ,,,,,0,1,1_11140
19,11140,*** NO SE USA ***, ,,,,,0,19,19_11140
999,11140,*** NO SE USA ***, ,,,,,0,999,999_11140
1,11141,*** NO SE USA ***, ,,,,,0,1,1_11141
19,11141,*** NO SE USA ***, ,,,,,0,19,19_11141
999,11141,*** NO SE USA ***, ,,,,,0,999,999_11141
19,11082,*** SE UTILIZA EL PARAMETRO NUMERO 82 ***, ,,,,,0,19,19_11082
999,11082,*** SE UTILIZA EL PARAMETRO NUMERO 82 ***, ,,,,,0,999,999_11082
1,11083,*** NO SE USA ***, ,,,,,0,1,1_11083
19,11083,*** NO SE USA ***, ,,,,,0,19,19_11083
999,11083,*** NO SE USA ***, ,,,,,0,999,999_11083
1,11084,*** NO SE USA ***, ,,,,,0,1,1_11084
19,11084,*** NO SE USA ***, ,,,,,0,19,19_11084
999,11084,*** NO SE USA ***, ,,,,,0,999,999_11084
1,11085,*** NO SE USA ***, ,,,,,0,1,1_11085
19,11085,*** NO SE USA ***, ,,,,,0,19,19_11085
999,11085,*** NO SE USA ***, ,,,,,0,999,999_11085
1,11086,*** NO SE USA ***, ,,,,,0,1,1_11086
