empresa,ejercicio,asiento,orden,fecha_entrada,fecha_contable,usuario,subcta,importe_debe,debe_base,debe_euro,importe_haber,haber_base,haber_euro,tipo,moneda,cambio,cambio_euro,fecha_valor,concepto,descripcion_1,descripcion_2,documento,subcta_contrap,impreso,fecha_impreso,asiento_definitivo,orden_definitivo,diario,procedencia,estado,centro,p_s,p_sd,triangulado,iden,empresa_id,ejercicio_id,subcta_id,moneda_id,subcta_contrap_id,name
1,2023,23002828,2,2024-02-15,2023-12-31,inagasa1,1130000,0.00000,0.00000,0.00000,18379.62000,18379.62000,0.00000,H,9,1.000000,0.000000,,0,RECLA.RESER.CAPITALI,INCUMPL.2020 i 2021,,1140000,,,23002826,2,0,600,,,,,,,1,1_2023,1_1130000,9,1_1130000,1_23002828_2
1,2023,23000001,6,2023-03-16,2023-01-01,inagasa1,2813000,0.00000,0.00000,,287153.24000,287153.24000,,H,9,1.000000,,2023-01-01,62,Apertura,,,,,,23000001,6,0,610,,,,,,,1,1_2023,1_2813000,9,1_2813000,1_23000001_6
1,2023,23000001,7,2023-03-16,2023-01-01,inagasa1,2812000,0.00000,0.00000,,76443.82000,76443.82000,,H,9,1.000000,,2023-01-01,62,Apertura,,,,,,23000001,7,0,610,,,,,,,1,1_2023,1_2812000,9,1_2812000,1_23000001_7
1,2023,23000001,8,2023-03-16,2023-01-01,inagasa1,2816000,0.00000,0.00000,,12134.82000,12134.82000,,H,9,1.000000,,2023-01-01,62,Apertura,,,,,,23000001,8,0,610,,,,,,,1,1_2023,1_2816000,9,1_2816000,1_23000001_8
1,2023,23000001,9,2023-03-16,2023-01-01,inagasa1,2817000,0.00000,0.00000,,8938.33000,8938.33000,,H,9,1.000000,,2023-01-01,62,Apertura,,,,,,23000001,9,0,610,,,,,,,1,1_2023,1_2817000,9,1_2817000,1_23000001_9
1,2023,23000001,10,2023-03-16,2023-01-01,inagasa1,2818000,0.00000,0.00000,,40115.04000,40115.04000,,H,9,1.000000,,2023-01-01,62,Apertura,,,,,,23000001,10,0,610,,,,,,,1,1_2023,1_2818000,9,1_2818000,1_23000001_10
1,2023,23000001,11,2023-03-16,2023-01-01,inagasa1,2806000,0.00000,0.00000,,41473.04000,41473.04000,,H,9,1.000000,,2023-01-01,62,Apertura,,,,,,23000001,11,0,610,,,,,,,1,1_2023,1_2806000,9,1_2806000,1_23000001_11
1,2023,23000001,4,2023-03-16,2023-01-01,inagasa1,2180000,40115.04000,40115.04000,,0.00000,0.00000,,D,9,1.000000,,2023-01-01,62,Apertura,,,,,,23000001,4,0,610,,,,,,,1,1_2023,1_2180000,9,1_2180000,1_23000001_4
1,2023,23000001,5,2023-03-16,2023-01-01,inagasa1,2060000,43365.00000,43365.00000,,0.00000,0.00000,,D,9,1.000000,,2023-01-01,62,Apertura,,,,,,23000001,5,0,610,,,,,,,1,1_2023,1_2060000,9,1_2060000,1_23000001_5
1,2023,23000520,1,2023-03-13,2023-03-09,inagasa1,4000728,0.00000,0.00000,,3398.00000,3398.00000,,H,9,1.000000,,2023-03-03,21,Su factura,23YH--0090,23000166,,,,23000519,1,0,210,,,,,,,1,1_2023,1_4000728,9,1_4000728,1_23000520_1
1,2023,23000520,2,2023-03-13,2023-03-09,inagasa1,4720000,0.00000,0.00000,,0.00000,0.00000,,D,9,1.000000,,2023-03-03,0,Su factura,23YH--0090,23000166,4000728,,,23000519,2,0,210,,,,,,,1,1_2023,1_4720000,9,1_4720000,1_23000520_2
1,2023,23000520,3,2023-03-13,2023-03-09,inagasa1,6240011,123.00000,123.00000,,0.00000,0.00000,,D,9,1.000000,,2023-03-03,39,Compras s/factura,23YH--0090,23000166,4000728,,,23000519,3,0,210,,,,,,,1,1_2023,1_6240011,9,1_6240011,1_23000520_3
1,2023,23000520,4,2023-03-13,2023-03-09,inagasa1,6010011,3275.00000,3275.00000,,0.00000,0.00000,,D,9,1.000000,,2023-03-03,39,Compras s/factura,23YH--0090,23000166,4000728,,,23000519,4,0,210,,,,,,,1,1_2023,1_6010011,9,1_6010011,1_23000520_4
1,2023,23002803,1,2024-01-03,2023-12-30,inagasa1,4301535,0.00000,0.00000,0.00000,270.89000,270.89000,0.00000,H,9,1.000000,0.000000,,10,Cobro n/Fra.,Vto. 04/12/2023,23000494,5720000,,,23002803,1,0,300,,,,,,,1,1_2023,1_4301535,9,1_4301535,1_23002803_1
1,2023,23002803,2,2024-01-03,2023-12-30,inagasa1,5720000,270.89000,270.89000,0.00000,0.00000,0.00000,0.00000,D,9,1.000000,0.000000,,41,Remesa n/fra,24000005,,430,S,,23002803,2,0,300,,,,,,O,1,1_2023,1_5720000,9,1_5720000,1_23002803_2
1,2023,23002829,1,2024-02-15,2023-12-31,inagasa1,6300000,43067.50000,43067.50000,0.00000,0.00000,0.00000,0.00000,D,9,1.000000,0.000000,,0,IMPOS.SOCIETATS 2023,,,,,,23002827,1,0,600,,,,,,,1,1_2023,1_6300000,9,1_6300000,1_23002829_1
1,2023,23002829,2,2024-02-15,2023-12-31,inagasa1,4730000,0.00000,0.00000,0.00000,19047.37000,19047.37000,0.00000,H,9,1.000000,0.000000,,0,IMPOS.SOCIETATS 2023,,,,,,23002827,2,0,600,,,,,,,1,1_2023,1_4730000,9,1_4730000,1_23002829_2
1,2023,23002829,3,2024-02-15,2023-12-31,inagasa1,4731000,0.00000,0.00000,0.00000,480.32000,480.32000,0.00000,H,9,1.000000,0.000000,,0,IMPOS.SOCIETATS 2023,,,,,,23002827,3,0,600,,,,,,,1,1_2023,1_4731000,9,1_4731000,1_23002829_3
1,2023,23002829,4,2024-02-15,2023-12-31,inagasa1,6301000,4594.91000,4594.91000,0.00000,0.00000,0.00000,0.00000,D,9,1.000000,0.000000,,0,IMPOS.SOCIETATS 2023,INCUMPL.2020 i 2021,,,,,23002827,4,0,600,,,,,,,1,1_2023,1_6301000,9,1_6301000,1_23002829_4
1,2023,23002829,5,2024-02-15,2023-12-31,inagasa1,6690000,440.29000,440.29000,0.00000,0.00000,0.00000,0.00000,D,9,1.000000,0.000000,,0,IMPOS.SOCIETATS 2023,INTERES. DEMORA,,,,,23002827,5,0,600,,,,,,,1,1_2023,1_6690000,9,1_6690000,1_23002829_5
1,2023,23002829,6,2024-02-15,2023-12-31,inagasa1,4752000,0.00000,0.00000,0.00000,28575.01000,28575.01000,0.00000,H,9,1.000000,0.000000,,0,IMPOS.SOCIETATS 2023,,,,,,23002827,6,0,600,,,,,,,1,1_2023,1_4752000,9,1_4752000,1_23002829_6
1,2023,23000001,12,2023-03-16,2023-01-01,inagasa1,4400003,104618.43000,104618.43000,,0.00000,0.00000,,D,9,1.000000,,2023-01-01,62,Apertura,,,,,,23000001,12,0,610,,,,,,,1,1_2023,1_4400003,9,1_4400003,1_23000001_12
1,2023,23000001,13,2023-03-16,2023-01-01,inagasa1,4400005,104618.43000,104618.43000,,0.00000,0.00000,,D,9,1.000000,,2023-01-01,62,Apertura,,,,,,23000001,13,0,610,,,,,,,1,1_2023,1_4400005,9,1_4400005,1_23000001_13
