empresa,codigo,clv_art,tipo,subcta,idioma,descripcion,empresa_id,codigo_id,name
1,PR/1854/0007,,0,,,"ANODO Ti/Pt 3,5/1,5micras C1 420x595",1,1_PR/1854/0007,"1_PR/1854/0007_ANODO Ti/Pt 3,5/1,5micras C1 420x595"
1,02/0920701,,0,,,CARTELA SUPERIOR Ti-1.5  7 BAIXANTS a 34,1,1_02/0920701,1_02/0920701_CARTELA SUPERIOR Ti-1.5  7 BAIXANTS a 34
1,01/09876C01,,0,,,"FLEJE INOX301 4/4 DURO 0,6x10x58 HEX-6",1,1_01/09876C01,"1_01/09876C01_FLEJE INOX301 4/4 DURO 0,6x10x58 HEX-6"
1,02/09207R,,0,,,CAPÇAL SUPERIOR Ti  7 BAIXANTS a 34 REP.,1,1_02/09207R,1_02/09207R_CAPÇAL SUPERIOR Ti  7 BAIXANTS a 34 REP.
1,02/09207B,,0,,,"CAPÇAL SUPERIOR Ti-1,5 7 BAIXANTS a 34               TC10/9006 16PIS",1,1_02/09207B,"1_02/09207B_CAPÇAL SUPERIOR Ti-1,5 7 BAIXANTS a 34               TC10/9006 16PIS"
1,02/10760AR,,0,,,"BAST.Ti+PLAST. 1x55 L-70x135 5T1,5 REP",1,1_02/10760AR,"1_02/10760AR_BAST.Ti+PLAST. 1x55 L-70x135 5T1,5 REP"
1,01/10277,,0,,,"SERP.INOX316L D25 1033x625 P6 3/4""G DE",1,1_01/10277,"1_01/10277_SERP.INOX316L D25 1033x625 P6 3/4""G DE"
1,PR/0820/0023,,0,,,"SERP.Ti D25,4 1230x1000 P4 3/4""G",1,1_PR/0820/0023,"1_PR/0820/0023_SERP.Ti D25,4 1230x1000 P4 3/4""G"
1,PR/0820/0018-A,,0,,,"SERP.Ti D25,4 2550x3000 P8 3/4""",1,1_PR/0820/0018-A,"1_PR/0820/0018-A_SERP.Ti D25,4 2550x3000 P8 3/4"""
1,PR/0820/0024,,0,,,"SERP.Ti D25,4 1230x3000 P4 3/4""G",1,1_PR/0820/0024,"1_PR/0820/0024_SERP.Ti D25,4 1230x3000 P4 3/4""G"
1,PR/0820/0025,,0,,,"ENLACE CONEXION Ti D25,4 L2500 M-H 3/4""",1,1_PR/0820/0025,"1_PR/0820/0025_ENLACE CONEXION Ti D25,4 L2500 M-H 3/4"""
1,PR/0820/0026,,0,,,"ENLACE CONEXION Ti D25,4 L1500 M-H 3/4""",1,1_PR/0820/0026,"1_PR/0820/0026_ENLACE CONEXION Ti D25,4 L1500 M-H 3/4"""
1,01/10278,,0,,,"CATODO PLISADO Fe-1,5 600x650+2TC150",1,1_01/10278,"1_01/10278_CATODO PLISADO Fe-1,5 600x650+2TC150"
1,PR/0617/0264,,0,,,BAST-XXX-Ti 1450x335 5BESx17POSx2 -L814252-,1,1_PR/0617/0264,1_PR/0617/0264_BAST-XXX-Ti 1450x335 5BESx17POSx2 -L814252-
1,12/80974,,0,,,BOLSA TELA PE 10MICRAS D180x400 ARO INOX,1,1_12/80974,1_12/80974_BOLSA TELA PE 10MICRAS D180x400 ARO INOX
1,12/80975,,0,,,BOLSA TELA PE 25MICRAS D180x400 ARO INOX,1,1_12/80975,1_12/80975_BOLSA TELA PE 25MICRAS D180x400 ARO INOX
