empresa,ejercicio,tipo_movimiento,albaran,linea_albaran,linea_pedido,articulo,acumula,cantidad,bultos,precio,precio_iva,tipo_precio,descuento_1,descuento_2,descuento_3,comision_1,comision_2,comision_3,tipo_iva,variante,iva,recargo_e,precio_coste,pts_kl,aplic_pt_kl,total_linea,total_linea_base,total_linea_euro,moneda,cambio,cambio_euro,almacen,pedido,subcta,linea_producto,clv_sub,fecha_documento,factura,linea_factura,fecha_factura,centro_coste,gastos_exped,facturado,presupuesto,linea_presupuesto,triangulado,lote_interno,od_linea,codexpe,campo1,campo2,porcentaje,eur_kg,empresa_id,moneda_id,almacen_id,albaran_id,factura_id,name
1,2023,EC,23000414,3,,.PAP-T,1,20.000,0.000,4.84000,4.84000,3,0.00,0.00,0.00,0.00,0.00,0.00,1,STAND,21.00,0.00,4.84000,0.00000,0,96.80000,96.80000,,9,1.000000,,1,0,4000072,1,,2023-09-14,23000606,3,2023-09-15,000,,1,,,,,,,,,,0.00000,1,9,1_1,1_1_EC_23000414,1_1_FC_23000606,1_1_EC_23000414_3
1,2023,EC,23000414,4,,.PAP-T,1,1.000,0.000,4.05000,4.05000,3,0.00,0.00,0.00,0.00,0.00,0.00,1,STAND,21.00,0.00,4.05000,0.00000,0,4.05000,4.05000,,9,1.000000,,1,0,4000072,1,,2023-09-14,23000606,4,2023-09-15,000,,1,,,,,,,,,,0.00000,1,9,1_1,1_1_EC_23000414,1_1_FC_23000606,1_1_EC_23000414_4
1,2023,EC,23000414,5,,.PAP-T,1,12.000,0.000,1.65000,1.65000,3,0.00,0.00,0.00,0.00,0.00,0.00,1,STAND,21.00,0.00,1.65000,0.00000,0,19.80000,19.80000,,9,1.000000,,1,0,4000072,1,,2023-09-14,23000606,5,2023-09-15,000,,1,,,,,,,,,,0.00000,1,9,1_1,1_1_EC_23000414,1_1_FC_23000606,1_1_EC_23000414_5
1,2023,EC,23000414,6,,.PAP-T,1,1.000,0.000,4.94000,4.94000,3,0.00,0.00,0.00,0.00,0.00,0.00,1,STAND,21.00,0.00,4.94000,0.00000,0,4.94000,4.94000,,9,1.000000,,1,0,4000072,1,,2023-09-14,23000606,6,2023-09-15,000,,1,,,,,,,,,,0.00000,1,9,1_1,1_1_EC_23000414,1_1_FC_23000606,1_1_EC_23000414_6
1,2023,EC,23000414,7,,.PAP-T,1,2.000,0.000,0.73000,0.73000,3,0.00,0.00,0.00,0.00,0.00,0.00,1,STAND,21.00,0.00,0.73000,0.00000,0,1.46000,1.46000,,9,1.000000,,1,0,4000072,1,,2023-09-14,23000606,7,2023-09-15,000,,1,,,,,,,,,,0.00000,1,9,1_1,1_1_EC_23000414,1_1_FC_23000606,1_1_EC_23000414_7
1,2023,EC,23000414,9,,.PAP-T,1,1.000,0.000,34.38000,34.38000,3,0.00,0.00,0.00,0.00,0.00,0.00,1,STAND,21.00,0.00,34.38000,0.00000,0,34.38000,34.38000,,9,1.000000,,1,0,4000072,1,,2023-09-14,23000606,9,2023-09-15,000,,1,,,,,,,,,,0.00000,1,9,1_1,1_1_EC_23000414,1_1_FC_23000606,1_1_EC_23000414_9
1,2023,SV,23000541,3,3,02/07880A,1,16.000,0.000,33.75000,33.75000,0,0.00,0.00,0.00,0.00,0.00,0.00,1,STAND,21.00,0.00,17.35295,,0,540.00000,540.00000,,9,1.000000,,1,23000368,4300267,1,,2023-09-14,23000382,3,2023-09-20,,,1,,3,,,3,,,,,,1,9,1_1,1_1_SV_23000541,1_1_FV_23000382,1_1_SV_23000541_3
1,2023,SV,23000557,1,1,10/01001R,1,5.000,0.000,0.00000,0.00000,1,0.00,0.00,0.00,0.00,0.00,0.00,1,STAND,21.00,0.00,5.35214,,0,0.00000,0.00000,,9,1.000000,,1,23000485,4300837,1,,2023-09-22,23000400,1,2023-09-29,,,1,,1,,,1,,,,,,1,9,1_1,1_1_SV_23000557,1_1_FV_23000400,1_1_SV_23000557_1
1,2023,EC,23000419,1,1,02/1069201M1,1,173.000,0.000,21.62000,21.62000,1,0.00,0.00,0.00,0.00,0.00,0.00,1,STAND,21.00,0.00,21.62000,0.00000,0,3740.26000,3740.26000,,9,1.000000,,1,23000258,4000401,1,,2023-09-15,23000607,1,2023-09-15,000,,1,,,,,1,,,,,0.00000,1,9,1_1,1_1_EC_23000419,1_1_FC_23000607,1_1_EC_23000419_1
1,2023,SV,23000544,1,1,02/10817C01,1,18.000,0.000,25.20000,25.20000,0,0.00,0.00,0.00,0.00,0.00,0.00,1,STAND,21.00,0.00,12.46122,,0,453.60000,453.60000,,9,1.000000,,1,23000471,4300617,1,,2023-09-15,23000376,6,2023-09-15,,,1,,1,,,1,,,,,,1,9,1_1,1_1_SV_23000544,1_1_FV_23000376,1_1_SV_23000544_1
