empresa,codigo,clv_art,codigo_a,tipo,tipo_art,ficha_cerrada,fecha_baja,empresa_id,name
1,02/08795M,,TI02,2,,0,,1,1_02/08795M
1,02/08796,,TI02,2,,0,,1,1_02/08796
1,02/08796M,,TI02,2,,0,,1,1_02/08796M
1,02/08797,,TI02,2,,0,,1,1_02/08797
1,02/08797M,,TI02,2,,0,,1,1_02/08797M
1,04/01201,,PL04,4,,0,,1,1_04/01201
1,04/01202,,PL04,4,,0,,1,1_04/01202
1,04/01203,,PL04,4,,0,,1,1_04/01203
1,02/08800,,TI02,2,,0,,1,1_02/08800
1,02/08801,,TI02,2,,0,,1,1_02/08801
1,02/08802,,TI02,2,,0,,1,1_02/08802
1,02/08801M,,TI02,2,,0,,1,1_02/08801M
1,91/80092,,XTA91,8,,,,1,1_91/80092
1,01/09051R,,TA01,1,,0,,1,1_01/09051R
1,02/08803,,TI02,2,,0,,1,1_02/08803
1,PR/2013/0024,,TI02,2,,0,,1,1_PR/2013/0024
1,92/00103,,XTI92,8,,,,1,1_92/00103
1,PR/1007/0081,,TA01,1,,0,,1,1_PR/1007/0081
1,02/08806,,TI02,2,,0,,1,1_02/08806
1,03/00218,,CA03,3,,0,,1,1_03/00218
1,12/70013A01,,CV12,6,,0,,1,1_12/70013A01
1,PR/0267/0308,,TI02,2,,0,,1,1_PR/0267/0308
1,12/PG05132,,CV12,6,,0,,1,1_12/PG05132
1,01/10331,,TA01,1,,0,,1,1_01/10331
1,01/09051,,TA01,1,,,,1,1_01/09051
1,01/09053,,TA01,1,,0,,1,1_01/09053
1,01/09054,,TA01,1,,0,,1,1_01/09054
1,02/08799,,TI02,2,,0,,1,1_02/08799
1,02/08807,,TI02,2,,0,,1,1_02/08807
1,01/00375A,,TA01,1,,0,,1,1_01/00375A
1,02/08808,,TI02,2,,0,,1,1_02/08808
1,12/70105R,,CV12,6,,0,,1,1_12/70105R
1,.ROPA TRABAJO,,AVCTA,0,,,,1,1_.ROPA TRABAJO
1,01/00339BR,,TA01,1,,0,,1,1_01/00339BR
1,01/0905301,,TA01,1,,0,,1,1_01/0905301
1,01/0905302,,TA01,1,,0,,1,1_01/0905302
1,01/0905303,,TA01,1,,0,,1,1_01/0905303
1,01/0905401,,TA01,1,,0,,1,1_01/0905401
1,01/09053M3,,TA01,1,,0,,1,1_01/09053M3
1,01/09054M1,,TA01,1,,0,,1,1_01/09054M1
1,01/09053M4,,TA01,1,,0,,1,1_01/09053M4
1,01/09055,,TA01,1,,0,,1,1_01/09055
1,01/09016R,,TA01,1,,0,,1,1_01/09016R
1,02/08809,,TI02,2,,0,,1,1_02/08809
1,55/03502MP,,TI55,2,,0,,1,1_55/03502MP
1,01/00375B,,TA01,1,,0,,1,1_01/00375B
