empresa,subcta,linea_producto,clv_sub,subcta_contable,subcta_facturacion,zona_comercial,categoria,categoria_rappel,categoria_oferta,ficha_cerrada,fecha_alta,fecha_baja,subcta_contra,empresa_id,subcta_contable_id,subcta_facturacion_id,name
1,4301193,1,,4301193,4301193,80,0,,,1,1997-07-15,2004-09-19,,1,1_4301193,1_4301193,1_4301193
1,4300794,1,,4300794,4300794,77,0,,,1,1995-11-20,2003-11-06,,1,1_4300794,1_4300794,1_4300794
1,4000579,1,,4000579,4000579,,,,,,2003-12-12,,,1,1_4000579,1_4000579,1_4000579
1,4300090,1,,4300090,4300090,43,0,,,0,1995-11-14,2011-02-28,,1,1_4300090,1_4300090,1_4300090
1,4000682,1,,4000682,4000682,,,,,0,2011-06-22,,,1,1_4000682,1_4000682,1_4000682
1,4300063,1,,4300063,4300063,7,0,,,1,1995-11-13,2005-02-15,,1,1_4300063,1_4300063,1_4300063
1,4301721,1,,4301721,4301721,4,,,,0,2013-12-02,,,1,1_4301721,1_4301721,1_4301721
1,4301398,1,,4301398,4301398,77,"",,,0,2001-03-02,,,1,1_4301398,1_4301398,1_4301398
1,4310057,1,,4310057,4310057,5,A,,,1,2005-02-14,2008-03-01,,1,1_4310057,1_4310057,1_4310057
1,4301113,1,,4301113,4301113,17,0,,,1,1996-01-08,2005-01-01,,1,1_4301113,1_4301113,1_4301113
1,4300998,1,,4300998,4300998,1,A,,,0,1996-02-21,2011-02-28,,1,1_4300998,1_4300998,1_4300998
1,4300290,1,,4300290,4300290,81,A,,,1,2005-06-17,2011-03-28,,1,1_4300290,1_4300290,1_4300290
1,4300119,1,,4300119,4300119,81,0,,,1,1995-11-14,2004-12-01,,1,1_4300119,1_4300119,1_4300119
1,4301254,1,,4301254,4301254,4,A,,,1,1998-09-25,2006-01-26,,1,1_4301254,1_4301254,1_4301254
1,4301548,1,,4301548,4301548,,4301548,,,0,2006-07-24,2011-02-17,,1,1_4301548,1_4301548,1_4301548
1,4301364,1,,4301364,4301364,77,0,,,0,2000-01-19,,,1,1_4301364,1_4301364,1_4301364
1,4301600,1,,4301600,4301600,8,0,,,0,2008-01-30,,,1,1_4301600,1_4301600,1_4301600
1,4301701,1,,4301701,4301701,2,,,,0,2012-10-17,,,1,1_4301701,1_4301701,1_4301701
1,4300818,1,,4300818,4300818,43,0,,,0,1996-11-25,,,1,1_4300818,1_4300818,1_4300818
1,4301445,1,,4301445,4301445,48,0,,,0,2003-01-29,,,1,1_4301445,1_4301445,1_4301445
1,4300617,1,,4300617,4300617,17,0,,,0,1995-11-16,,,1,1_4300617,1_4300617,1_4300617
1,4310039,1,,4310039,4310039,5,NO VISITA,,,0,2004-10-18,,,1,1_4310039,1_4310039,1_4310039
19,4300292,1,,4300292,4300292,77,0,,,0,1995-11-14,,,19,19_4300292,19_4300292,19_4300292
