emp,eje,alm,doc,observacion,faviso,empresa_id,ejercicio_id,almacen_id,name
1,2003,1,8027,,,1,1_2003,1_1,1_2003_8027
1,2004,1,8113,,,1,1_2004,1_1,1_2004_8113
1,2004,1,8115,,,1,1_2004,1_1,1_2004_8115
1,2004,1,8148,,,1,1_2004,1_1,1_2004_8148
1,2004,1,8168,,,1,1_2004,1_1,1_2004_8168
1,2004,1,8172,,,1,1_2004,1_1,1_2004_8172
1,2004,1,8207,,,1,1_2004,1_1,1_2004_8207
1,2004,1,8222,,,1,1_2004,1_1,1_2004_8222
1,2004,1,8223,,,1,1_2004,1_1,1_2004_8223
1,2004,1,8224,,,1,1_2004,1_1,1_2004_8224
1,2004,1,8225,,,1,1_2004,1_1,1_2004_8225
1,2004,1,8226,,,1,1_2004,1_1,1_2004_8226
1,2004,1,8233,,,1,1_2004,1_1,1_2004_8233
1,2004,1,8234,,,1,1_2004,1_1,1_2004_8234
1,2004,1,8238,,,1,1_2004,1_1,1_2004_8238
1,2004,1,8243,,,1,1_2004,1_1,1_2004_8243
1,2004,1,8245,,,1,1_2004,1_1,1_2004_8245
1,2004,1,8248,,,1,1_2004,1_1,1_2004_8248
1,2004,1,8257,,,1,1_2004,1_1,1_2004_8257
1,2004,1,8258,,,1,1_2004,1_1,1_2004_8258
1,2004,1,8260,,,1,1_2004,1_1,1_2004_8260
1,2004,1,8267,,,1,1_2004,1_1,1_2004_8267
1,2004,1,8270,,,1,1_2004,1_1,1_2004_8270
1,2004,1,8271,,,1,1_2004,1_1,1_2004_8271
1,2004,1,8272,,,1,1_2004,1_1,1_2004_8272
1,2004,1,8274,,,1,1_2004,1_1,1_2004_8274
1,2004,1,8275,,,1,1_2004,1_1,1_2004_8275
1,2004,1,8278,,,1,1_2004,1_1,1_2004_8278
1,2004,1,8279,,,1,1_2004,1_1,1_2004_8279
1,2004,1,8280,,,1,1_2004,1_1,1_2004_8280
1,2004,1,8281,,,1,1_2004,1_1,1_2004_8281
1,2004,1,8282,,,1,1_2004,1_1,1_2004_8282
1,2004,1,8283,,,1,1_2004,1_1,1_2004_8283
1,2004,1,8284,,,1,1_2004,1_1,1_2004_8284
1,2004,1,8287,,,1,1_2004,1_1,1_2004_8287
1,2004,1,8288,,,1,1_2004,1_1,1_2004_8288
1,2004,1,8289,,,1,1_2004,1_1,1_2004_8289
1,2004,1,8290,,,1,1_2004,1_1,1_2004_8290
1,2004,1,8291,,,1,1_2004,1_1,1_2004_8291
1,2004,1,8292,,,1,1_2004,1_1,1_2004_8292
1,2004,1,8293,,,1,1_2004,1_1,1_2004_8293
1,2004,1,8294,,,1,1_2004,1_1,1_2004_8294
1,2004,1,8296,,,1,1_2004,1_1,1_2004_8296
1,2004,1,8297,,,1,1_2004,1_1,1_2004_8297
1,2004,1,8298,,,1,1_2004,1_1,1_2004_8298
1,2004,1,8299,,,1,1_2004,1_1,1_2004_8299
1,2004,1,8300,,,1,1_2004,1_1,1_2004_8300
1,2006,1,10645,,,1,1_2006,1_1,1_2006_10645
1,2006,1,10657,,,1,1_2006,1_1,1_2006_10657
1,2006,1,10709,,,1,1_2006,1_1,1_2006_10709
1,2006,1,10750,,,1,1_2006,1_1,1_2006_10750
1,2006,1,10772,,,1,1_2006,1_1,1_2006_10772
